"","count","gene","sample","ind","time","region","APA","strained","group"
"82",2,"pkmz","51","BL14","AM","CA1","control","wt","3"
"83",2,"pkmz","51","BL14","AM","CA1","control","wt","3"
"84",2,"pkmz","51","BL14","AM","CA1","control","wt","3"
"85",4,"pkmz","53","BL6","AM","CA1","control","wt","3"
"86",1,"pkmz","53","BL6","AM","CA1","control","wt","3"
"87",2,"pkmz","53","BL6","AM","CA1","control","wt","3"
"88",2,"pkmz","54","ab","AM","CA1","control","wt","2"
"89",2,"pkmz","54","ab","AM","CA1","control","wt","2"
"90",1,"pkmz","54","ab","AM","CA1","control","wt","2"
"91",3,"pkmz","2","a wt","AM","CA1","trained","wt","4"
"92",3,"pkmz","2","a wt","AM","CA1","trained","wt","4"
"93",4,"pkmz","2","a wt","AM","CA1","trained","wt","4"
"94",2,"pkmz","35","BL11","AM","CA1","trained","wt","5"
"95",3,"pkmz","35","BL11","AM","CA1","trained","wt","5"
"96",3,"pkmz","35","BL11","AM","CA1","trained","wt","5"
"97",6,"pkmz","36","BL7","AM","CA1","trained","wt","5"
"98",3,"pkmz","36","BL7","AM","CA1","trained","wt","5"
"99",5,"pkmz","36","BL7","AM","CA1","trained","wt","5"
"100",5,"pkmz","37","BL2","AM","CA1","trained","wt","5"
"101",4,"pkmz","37","BL2","AM","CA1","trained","wt","5"
"102",5,"pkmz","37","BL2","AM","CA1","trained","wt","5"
"103",0,"pkmz","39","BL19","PM","CA1","trained","wt","5"
"104",0,"pkmz","39","BL19","PM","CA1","trained","wt","5"
"105",1,"pkmz","39","BL19","PM","CA1","trained","wt","5"
"106",1,"pkmz","40","BL3","AM","CA1","trained","wt","5"
"107",1,"pkmz","40","BL3","AM","CA1","trained","wt","5"
"108",2,"pkmz","40","BL3","AM","CA1","trained","wt","5"
"109",3,"pkmz","41","BL13","PM","CA1","trained","wt","5"
"110",2,"pkmz","41","BL13","PM","CA1","trained","wt","5"
"111",5,"pkmz","41","BL13","PM","CA1","trained","wt","5"
"112",0,"pkmz","46","BL1","AM","CA1","trained","wt","5"
"113",0,"pkmz","46","BL1","AM","CA1","trained","wt","5"
"114",0,"pkmz","46","BL1","AM","CA1","trained","wt","5"
"115",13,"pkmz","47","BL15","PM","CA1","trained","wt","5"
"116",13,"pkmz","47","BL15","PM","CA1","trained","wt","5"
"117",14,"pkmz","47","BL15","PM","CA1","trained","wt","5"
"118",5,"pkmz","48","BL9","AM","CA1","trained","wt","5"
"119",4,"pkmz","48","BL9","AM","CA1","trained","wt","5"
"120",7,"pkmz","48","BL9","AM","CA1","trained","wt","5"
"121",1,"pkmz","49","BL5","AM","CA1","trained","wt","5"
"122",0,"pkmz","49","BL5","AM","CA1","trained","wt","5"
"123",1,"pkmz","49","BL5","AM","CA1","trained","wt","5"
"124",13,"pkmz","52","BL17","AM","CA1","trained","wt","5"
"125",17,"pkmz","52","BL17","AM","CA1","trained","wt","5"
"126",11,"pkmz","52","BL17","AM","CA1","trained","wt","5"
"127",3,"pkmz","60","a wt","AM","CA1","trained","wt","4"
"128",3,"pkmz","60","a wt","AM","CA1","trained","wt","4"
"129",4,"pkmz","60","a wt","AM","CA1","trained","wt","4"
"130",6,"pkmz","19","BL 8","AM","CA3","control","wt","6"
"131",5,"pkmz","19","BL 8","AM","CA3","control","wt","6"
"132",4,"pkmz","19","BL 8","AM","CA3","control","wt","6"
"133",7,"pkmz","20","BL 14","AM","CA3","control","wt","6"
"134",8,"pkmz","20","BL 14","AM","CA3","control","wt","6"
"135",5,"pkmz","20","BL 14","AM","CA3","control","wt","6"
"136",9,"pkmz","21","BL 4","AM","CA3","control","wt","6"
"137",10,"pkmz","21","BL 4","AM","CA3","control","wt","6"
"138",9,"pkmz","21","BL 4","AM","CA3","control","wt","6"
"139",5,"pkmz","23","BL 6","AM","CA3","control","wt","6"
"140",6,"pkmz","23","BL 6","AM","CA3","control","wt","6"
"141",2,"pkmz","23","BL 6","AM","CA3","control","wt","6"
"142",10,"pkmz","24","BL 18","AM","CA3","control","wt","6"
"143",3,"pkmz","24","BL 18","AM","CA3","control","wt","6"
"144",3,"pkmz","24","BL 18","AM","CA3","control","wt","6"
"145",5,"pkmz","29","BL 10","PM","CA3","control","wt","6"
"146",8,"pkmz","29","BL 10","PM","CA3","control","wt","6"
"147",8,"pkmz","29","BL 10","PM","CA3","control","wt","6"
"148",2,"pkmz","30","BL 12","AM","CA3","control","wt","6"
"149",2,"pkmz","30","BL 12","AM","CA3","control","wt","6"
"150",9,"pkmz","30","BL 12","AM","CA3","control","wt","6"
"151",2,"pkmz","18","BL 9","AM","CA3","trained","wt","7"
"152",0,"pkmz","18","BL 9","AM","CA3","trained","wt","7"
"153",2,"pkmz","18","BL 9","AM","CA3","trained","wt","7"
"154",4,"pkmz","22","BL 19","PM","CA3","trained","wt","7"
"155",6,"pkmz","22","BL 19","PM","CA3","trained","wt","7"
"156",10,"pkmz","22","BL 19","PM","CA3","trained","wt","7"
"157",0,"pkmz","25","BL 11","AM","CA3","trained","wt","7"
"158",12,"pkmz","25","BL 11","AM","CA3","trained","wt","7"
"159",3,"pkmz","25","BL 11","AM","CA3","trained","wt","7"
"160",9,"pkmz","26","BL 3","AM","CA3","trained","wt","7"
"161",0,"pkmz","26","BL 3","AM","CA3","trained","wt","7"
"162",11,"pkmz","26","BL 3","AM","CA3","trained","wt","7"
"163",5,"pkmz","27","BL 5","AM","CA3","trained","wt","7"
"164",8,"pkmz","27","BL 5","AM","CA3","trained","wt","7"
"165",3,"pkmz","27","BL 5","AM","CA3","trained","wt","7"
"166",2,"pkmz","28","BL 13","PM","CA3","trained","wt","7"
"167",3,"pkmz","28","BL 13","PM","CA3","trained","wt","7"
"168",11,"pkmz","28","BL 13","PM","CA3","trained","wt","7"
"169",67,"pkmz","31","BL 15","PM","CA3","trained","wt","7"
"170",49,"pkmz","31","BL 15","PM","CA3","trained","wt","7"
"171",67,"pkmz","31","BL 15","PM","CA3","trained","wt","7"
"172",36,"pkmz","32","BL 7","AM","CA3","trained","wt","7"
"173",40,"pkmz","32","BL 7","AM","CA3","trained","wt","7"
"174",52,"pkmz","32","BL 7","AM","CA3","trained","wt","7"
