sample	ind	Time	Region	APA	pkmz	grim	rpl19
32	BL12	AM	CA3	control	36.31508636	-1	35.05439758
32	BL12	AM	CA3	control	35.57952499	35.83836746	34.79622269
32	BL12	AM	CA3	control	33.6182785	37.60982895	35.59980011
33	BL15	PM	CA3	train	30.43812943	32.69776917	31.15038109
33	BL15	PM	CA3	train	30.94237518	32.83696747	31.27100182
33	BL15	PM	CA3	train	30.44612694	32.75319672	31.46831703
34	BL7	AM	CA3	train	31.43811035	33.307724	32.5513916
34	BL7	AM	CA3	train	31.26288986	33.35445404	32.62634277
34	BL7	AM	CA3	train	30.85464096	33.48236465	32.88419342
35	BL1	AM	CA3	train	36.9444046	-1	35.99179459
35	BL1	AM	CA3	train	33.74009323	-1	35.27347946
35	BL1	AM	CA3	train	36.29188538	37.94684982	35.87812042
36	BL2	AM	CA3	train	34.46593094	-1	35.79260254
36	BL2	AM	CA3	train	34.67621994	-1	NA
36	BL2	AM	CA3	train	34.71211243	-1	NA
