"","cam2kd","dlg4","fos","gria","grim","grin","nsf","pkmz","rpl19","rRNA18S","ind","time","region","APA","strain","year","strain.APA"
"2",4.46176013486234,NA,NA,3.57021359155124,1.19644557262616,1.70208797791187,2.67893506427154,1.58628023897565,8.94574395677663,6.05753084940802,"a wt","AM","CA1","Trained","B6",2014,"B6 Trained"
"5",7.07758146498831,NA,NA,4.97230535279929,2.29734697110138,3.24027715469904,4.28910219026274,1.30269356182071,10.0635427943468,6.12676630214701,"b ","AM","CA1","Trained","fmr1",2014,"fmr1 Trained"
"7",6.84850584167822,NA,NA,5.01467577345536,2.28888114658951,3.23852164196739,4.40225638043775,1.87346279195842,11.6716490227778,5.67844414461086,"c","AM","CA1","Trained","fmr1",2014,"fmr1 Trained"
"9",6.46374053975075,NA,NA,4.96970620595098,2.29297134669607,3.24405146458076,4.34338062488741,1.88232831855311,9.54841791386728,6.79750350443214,"f","AM","CA1","Trained","fmr1",2014,"fmr1 Trained"
"11",9.83454432829473,NA,NA,4.89648797246054,2.28781711584955,3.22942332064966,7.25321743666542,1.76140005963301,11.462698335253,6.26755856100008,"h","AM","CA1","Trained","fmr1",2014,"fmr1 Trained"
"13",7.30190297569653,NA,NA,4.95021410919193,2.28952036871369,3.23213108128638,4.38281703601602,1.70167707307105,12.9189420891465,7.92191277303962,"j","AM","CA1","Trained","fmr1",2014,"fmr1 Trained"
"18",3.54092071562554,NA,NA,3.52070785817778,1.19291002327765,1.70024621584486,3.32947838750593,2.46590116446672,4.15275643032936,10.903021367053,"BL 9","AM","CA3","Trained","B6",2013,"B6 Trained"
"22",2.91309105586769,NA,NA,3.51611380723762,1.27129654568046,1.66998859703087,3.78823688689825,2.50103495564817,3.18901453615723,10.0881095246194,"BL 19","PM","CA3","Trained","B6",2013,"B6 Trained"
"25",3.23974475690499,NA,NA,3.5701833830378,1.19004630915394,1.69724922977008,3.80830079683417,2.15901710604975,3.92587278800683,10.4650836979548,"BL 11","AM","CA3","Trained","B6",2013,"B6 Trained"
"26",3.31953616282512,NA,NA,3.56175288133841,1.19469532258438,1.70012284796076,2.43738633560187,3.22534370603003,3.84991811029512,10.7181038983882,"BL 3","AM","CA3","Trained","B6",2013,"B6 Trained"
"27",3.00900363906614,NA,NA,3.50980647901148,1.19404345296377,1.69157900961571,3.3717753534739,2.93072853102657,3.50938990884999,11.2332367394357,"BL 5","AM","CA3","Trained","B6",2013,"B6 Trained"
"28",2.24434236056638,NA,NA,3.61017341501524,1.26733238620921,1.66797641391073,2.88511872552178,2.73923408716273,2.14998612304515,9.77978379556205,"BL 13","PM","CA3","Trained","B6",2013,"B6 Trained"
"31",2.80671698390399,NA,NA,3.53214002054976,1.27343137423824,1.66042839098283,3.13078381629193,3.39944814843911,3.16864308986659,10.6961055289028,"BL 15","PM","CA3","Trained","B6",2013,"B6 Trained"
"32",3.49926697986649,NA,NA,3.54042354732684,1.19544868469067,1.6941580661886,3.2797273811437,3.21047227352886,3.0191509551203,10.003868734031,"BL 7","AM","CA3","Trained","B6",2013,"B6 Trained"
"1",6.56917257931741,2.99731371300934,1.80835206918269,4.58710698189231,1.4368814119408,2.97760416547619,4.14797962273616,1.56184795418815,10.576992406329,5.85457244217189,"a","AM","CA1","Control","fmr1",2014,"fmr1 Control"
"4",4.33124444560459,2.80120699133308,-0.651782292050251,3.4202247682446,1.07520929411517,1.19386528823193,2.86425636660612,1.25274489973483,9.35648256604926,5.37866824103299,"ab","AM","CA1","Control","B6",2014,"B6 Control"
"8",6.4844240922433,2.96812822517698,1.83391699584095,4.61798816194407,1.43891427388339,2.98328563683345,4.01225982937923,1.72447812666628,11.1382293840664,5.6720962279653,"e","AM","CA1","Control","fmr1",2014,"fmr1 Control"
"10",5.62693057458114,2.97973002708957,1.88041628681677,4.52087664445026,1.4360388014174,2.98529224329624,4.50922250995321,1.35301814307725,11.2424157182375,7.40234429018694,"g","AM","CA1","Control","fmr1",2014,"fmr1 Control"
"12",6.28660183490623,2.98688519469803,1.93518899440894,4.56634774864798,1.43811277370474,2.97835037142372,4.00440509762046,1.9214204920009,9.82925003491779,7.83988506299926,"i","AM","CA1","Control","fmr1",2014,"fmr1 Control"
"19",2.91920282470527,2.83424100814916,-0.800198912083111,3.39071421419373,1.07820673853863,1.19156162750722,2.77836707796892,2.10312456565029,3.46971894826888,9.73080781347689,"BL 8","AM","CA3","Control","B6",2013,"B6 Control"
"20",2.93065437675268,2.83197928948827,-0.700156342664811,3.41407623804896,1.07377702976771,1.1910172459451,2.88993194732056,1.95307175466691,3.24093883858925,10.1751570563871,"BL 14","AM","CA3","Control","B6",2013,"B6 Control"
"21",2.26769907594372,2.8379472835292,-0.694530726295978,3.37773589336244,1.07400928766074,1.18412104487851,2.83581908973965,2.87093036599111,4.09324220008039,11.8287800684937,"BL 4","AM","CA3","Control","B6",2013,"B6 Control"
"23",3.08352602014666,2.81636100760031,-0.650346080220877,3.41699456368139,1.07352802082533,1.19551107081366,3.13789294785436,1.9925594250457,3.1808465007446,10.0698814448381,"BL 6","AM","CA3","Control","B6",2013,"B6 Control"
"24",2.77165094592171,2.82026195970095,-0.733638084332697,3.4534548639676,1.07022691469358,1.19383191814641,2.75988568080873,2.05747858063649,2.60343013951678,10.136295035455,"BL 18","AM","CA3","Control","B6",2013,"B6 Control"
"29",2.5505298936284,2.91126298852272,-7.32909653175227,3.39262718747187,1.1525414983146,1.15019731262055,2.69337083843403,2.60619960965757,3.14928082978478,9.46863348920742,"BL 10","PM","CA3","Control","B6",2013,"B6 Control"
"30",1.76888419222665,2.83572365872507,-0.760108874292743,3.38125431166255,1.07572168153181,1.1913337545413,2.97553356293451,2.81543273275135,3.6654148771284,10.2252266718158,"BL 12","AM","CA3","Control","B6",2013,"B6 Control"
"14",NA,2.98219330673598,1.77793848942198,4.6091996652738,1.4373641563001,2.98568188120783,3.89232102617485,1.59933920014329,10.5171498417494,6.13134724426139,"k","AM","CA1","Control","fmr1",2014,"fmr1 Control"
"33",NA,NA,NA,3.604606783676,1.18777516553763,1.70896345826937,2.61722452691028,2.10170579025244,3.78474176518958,13.2030132841063,"BL 1","AM","CA3","Trained","B6",2013,"B6 Trained"
"34",NA,NA,NA,3.60650740885524,1.18492163598412,1.70895884617634,3.17972104926337,2.09482292828825,3.4855888609095,12.7487169551199,"BL 2","AM","CA3","Trained","B6",2013,"B6 Trained"
