"","count","gene","sample","ind","time","region","APA","strained","group","year"
"1",5,"pkmz","1","a","AM","CA1","control","fmr1","1","2014"
"2",3,"pkmz","1","a","AM","CA1","control","fmr1","1","2014"
"3",4,"pkmz","1","a","AM","CA1","control","fmr1","1","2014"
"4",6,"pkmz","8","e","AM","CA1","control","fmr1","1","2014"
"5",8,"pkmz","8","e","AM","CA1","control","fmr1","1","2014"
"6",14,"pkmz","8","e","AM","CA1","control","fmr1","1","2014"
"7",10,"pkmz","12","i","AM","CA1","control","fmr1","1","2014"
"8",9,"pkmz","12","i","AM","CA1","control","fmr1","1","2014"
"9",12,"pkmz","12","i","AM","CA1","control","fmr1","1","2014"
"11",6,"pkmz","14","k","AM","CA1","control","fmr1","1","2014"
"12",6,"pkmz","14","k","AM","CA1","control","fmr1","1","2014"
"13",3,"pkmz","5","b ","AM","CA1","trained","fmr1","8","2014"
"14",5,"pkmz","5","b ","AM","CA1","trained","fmr1","8","2014"
"15",1,"pkmz","5","b ","AM","CA1","trained","fmr1","8","2014"
"16",26,"pkmz","7","c","AM","CA1","trained","fmr1","8","2014"
"17",25,"pkmz","7","c","AM","CA1","trained","fmr1","8","2014"
"18",24,"pkmz","7","c","AM","CA1","trained","fmr1","8","2014"
"19",7,"pkmz","9","f","AM","CA1","trained","fmr1","8","2014"
"20",5,"pkmz","9","f","AM","CA1","trained","fmr1","8","2014"
"21",2,"pkmz","9","f","AM","CA1","trained","fmr1","8","2014"
"22",3,"pkmz","11","h","AM","CA1","trained","fmr1","8","2014"
"23",4,"pkmz","11","h","AM","CA1","trained","fmr1","8","2014"
"24",3,"pkmz","11","h","AM","CA1","trained","fmr1","8","2014"
"25",2,"pkmz","4","ab","AM","CA1","control","B6","2","2014"
"26",2,"pkmz","4","ab","AM","CA1","control","B6","2","2014"
"27",1,"pkmz","4","ab","AM","CA1","control","B6","2","2014"
"28",8,"pkmz","38","BL16","AM","CA1","control","B6","3","2013"
"29",9,"pkmz","38","BL16","AM","CA1","control","B6","3","2013"
"30",8,"pkmz","38","BL16","AM","CA1","control","B6","3","2013"
"31",2,"pkmz","42","BL4","AM","CA1","control","B6","3","2013"
"32",1,"pkmz","42","BL4","AM","CA1","control","B6","3","2013"
"33",1,"pkmz","42","BL4","AM","CA1","control","B6","3","2013"
"34",2,"pkmz","43","BL12","AM","CA1","control","B6","3","2013"
"35",1,"pkmz","43","BL12","AM","CA1","control","B6","3","2013"
"36",3,"pkmz","43","BL12","AM","CA1","control","B6","3","2013"
"37",1,"pkmz","44","BL10","PM","CA1","control","B6","3","2013"
"39",2,"pkmz","44","BL10","PM","CA1","control","B6","3","2013"
"43",3,"pkmz","50","BL18","AM","CA1","control","B6","3","2013"
"44",3,"pkmz","50","BL18","AM","CA1","control","B6","3","2013"
"45",3,"pkmz","50","BL18","AM","CA1","control","B6","3","2013"
"46",2,"pkmz","51","BL14","AM","CA1","control","B6","3","2013"
"47",2,"pkmz","51","BL14","AM","CA1","control","B6","3","2013"
"48",2,"pkmz","51","BL14","AM","CA1","control","B6","3","2013"
"49",4,"pkmz","53","BL6","AM","CA1","control","B6","3","2013"
"50",1,"pkmz","53","BL6","AM","CA1","control","B6","3","2013"
"51",2,"pkmz","53","BL6","AM","CA1","control","B6","3","2013"
"52",2,"pkmz","54","ab","AM","CA1","control","B6","2","2014"
"53",2,"pkmz","54","ab","AM","CA1","control","B6","2","2014"
"54",1,"pkmz","54","ab","AM","CA1","control","B6","2","2014"
"55",3,"pkmz","2","a wt","AM","CA1","trained","B6","4","2014"
"56",3,"pkmz","2","a wt","AM","CA1","trained","B6","4","2014"
"57",4,"pkmz","2","a wt","AM","CA1","trained","B6","4","2014"
"58",2,"pkmz","35","BL11","AM","CA1","trained","B6","5","2013"
"59",3,"pkmz","35","BL11","AM","CA1","trained","B6","5","2013"
"60",3,"pkmz","35","BL11","AM","CA1","trained","B6","5","2013"
"61",6,"pkmz","36","BL7","AM","CA1","trained","B6","5","2013"
"62",3,"pkmz","36","BL7","AM","CA1","trained","B6","5","2013"
"63",5,"pkmz","36","BL7","AM","CA1","trained","B6","5","2013"
"64",5,"pkmz","37","BL2","AM","CA1","trained","B6","5","2013"
"65",4,"pkmz","37","BL2","AM","CA1","trained","B6","5","2013"
"66",5,"pkmz","37","BL2","AM","CA1","trained","B6","5","2013"
"69",1,"pkmz","39","BL19","PM","CA1","trained","B6","5","2013"
"70",1,"pkmz","40","BL3","AM","CA1","trained","B6","5","2013"
"71",1,"pkmz","40","BL3","AM","CA1","trained","B6","5","2013"
"72",2,"pkmz","40","BL3","AM","CA1","trained","B6","5","2013"
"73",3,"pkmz","41","BL13","PM","CA1","trained","B6","5","2013"
"74",2,"pkmz","41","BL13","PM","CA1","trained","B6","5","2013"
"75",5,"pkmz","41","BL13","PM","CA1","trained","B6","5","2013"
"79",13,"pkmz","47","BL15","PM","CA1","trained","B6","5","2013"
"80",13,"pkmz","47","BL15","PM","CA1","trained","B6","5","2013"
"81",14,"pkmz","47","BL15","PM","CA1","trained","B6","5","2013"
"82",5,"pkmz","48","BL9","AM","CA1","trained","B6","5","2013"
"83",4,"pkmz","48","BL9","AM","CA1","trained","B6","5","2013"
"84",7,"pkmz","48","BL9","AM","CA1","trained","B6","5","2013"
"85",1,"pkmz","49","BL5","AM","CA1","trained","B6","5","2013"
"87",1,"pkmz","49","BL5","AM","CA1","trained","B6","5","2013"
"88",13,"pkmz","52","BL17","AM","CA1","trained","B6","5","2013"
"89",17,"pkmz","52","BL17","AM","CA1","trained","B6","5","2013"
"90",11,"pkmz","52","BL17","AM","CA1","trained","B6","5","2013"
"91",4,"grim","1","a","AM","CA1","control","fmr1","1","2014"
"92",4,"grim","1","a","AM","CA1","control","fmr1","1","2014"
"94",6,"grim","8","e","AM","CA1","control","fmr1","1","2014"
"95",9,"grim","8","e","AM","CA1","control","fmr1","1","2014"
"96",6,"grim","8","e","AM","CA1","control","fmr1","1","2014"
"97",6,"grim","12","i","AM","CA1","control","fmr1","1","2014"
"98",10,"grim","12","i","AM","CA1","control","fmr1","1","2014"
"99",5,"grim","12","i","AM","CA1","control","fmr1","1","2014"
"100",3,"grim","14","k","AM","CA1","control","fmr1","1","2014"
"101",9,"grim","14","k","AM","CA1","control","fmr1","1","2014"
"102",6,"grim","14","k","AM","CA1","control","fmr1","1","2014"
"103",12,"grim","5","b ","AM","CA1","trained","fmr1","8","2014"
"104",15,"grim","5","b ","AM","CA1","trained","fmr1","8","2014"
"105",10,"grim","5","b ","AM","CA1","trained","fmr1","8","2014"
"106",23,"grim","7","c","AM","CA1","trained","fmr1","8","2014"
"107",26,"grim","7","c","AM","CA1","trained","fmr1","8","2014"
"108",24,"grim","7","c","AM","CA1","trained","fmr1","8","2014"
"109",4,"grim","9","f","AM","CA1","trained","fmr1","8","2014"
"110",6,"grim","9","f","AM","CA1","trained","fmr1","8","2014"
"111",6,"grim","9","f","AM","CA1","trained","fmr1","8","2014"
"112",2,"grim","11","h","AM","CA1","trained","fmr1","8","2014"
"113",5,"grim","11","h","AM","CA1","trained","fmr1","8","2014"
"114",3,"grim","11","h","AM","CA1","trained","fmr1","8","2014"
"115",4,"grim","4","ab","AM","CA1","control","B6","2","2014"
"116",4,"grim","4","ab","AM","CA1","control","B6","2","2014"
"117",5,"grim","4","ab","AM","CA1","control","B6","2","2014"
"118",4,"grim","38","BL16","AM","CA1","control","B6","3","2013"
"119",8,"grim","38","BL16","AM","CA1","control","B6","3","2013"
"120",3,"grim","38","BL16","AM","CA1","control","B6","3","2013"
"122",3,"grim","42","BL4","AM","CA1","control","B6","3","2013"
"123",1,"grim","42","BL4","AM","CA1","control","B6","3","2013"
"124",1,"grim","43","BL12","AM","CA1","control","B6","3","2013"
"125",3,"grim","43","BL12","AM","CA1","control","B6","3","2013"
"126",2,"grim","43","BL12","AM","CA1","control","B6","3","2013"
"127",1,"grim","44","BL10","PM","CA1","control","B6","3","2013"
"130",1,"grim","45","BL8","AM","CA1","control","B6","3","2013"
"132",2,"grim","45","BL8","AM","CA1","control","B6","3","2013"
"133",1,"grim","50","BL18","AM","CA1","control","B6","3","2013"
"134",1,"grim","50","BL18","AM","CA1","control","B6","3","2013"
"135",3,"grim","50","BL18","AM","CA1","control","B6","3","2013"
"136",3,"grim","51","BL14","AM","CA1","control","B6","3","2013"
"137",2,"grim","51","BL14","AM","CA1","control","B6","3","2013"
"138",6,"grim","51","BL14","AM","CA1","control","B6","3","2013"
"139",4,"grim","53","BL6","AM","CA1","control","B6","3","2013"
"140",6,"grim","53","BL6","AM","CA1","control","B6","3","2013"
"141",2,"grim","53","BL6","AM","CA1","control","B6","3","2013"
"142",4,"grim","54","ab","AM","CA1","control","B6","2","2014"
"143",4,"grim","54","ab","AM","CA1","control","B6","2","2014"
"144",5,"grim","54","ab","AM","CA1","control","B6","2","2014"
"145",3,"grim","2","a wt","AM","CA1","trained","B6","4","2014"
"146",9,"grim","2","a wt","AM","CA1","trained","B6","4","2014"
"147",8,"grim","2","a wt","AM","CA1","trained","B6","4","2014"
