APA,strained,pkmz,grim,rpl19
control,fmr1,34.39366913,34.91590118,25.28633499
control,fmr1,35.51675034,35.00599289,25.3582325
control,fmr1,34.76863861,NA,25.37283707
control,fmr1,34.16627884,34.2987442,23.74504471
control,fmr1,33.72503281,33.73220444,23.82416344
control,fmr1,32.92292404,34.27136612,23.82784653
control,fmr1,-1,-1,29.02506256
control,fmr1,-1,-1,29.04042625
control,fmr1,-1,NA,29.20014763
control,fmr1,33.40670776,34.42627335,25.356987
control,fmr1,33.5161438,33.57812119,25.39126205
control,fmr1,33.12648392,34.67239761,25.42825699
control,fmr1,NA,35.21615219,24.71700287
control,fmr1,34.08581161,33.66561127,24.71705246
control,fmr1,34.0885849,34.34098053,24.9011097
control,fmr1,34.39366913,34.91590118,25.28633499
control,fmr1,35.51675034,35.00599289,25.3582325
control,fmr1,34.76863861,NA,25.37283707
control,fmr1,34.16627884,34.2987442,23.74504471
control,fmr1,33.72503281,33.73220444,23.82416344
control,fmr1,32.92292404,34.27136612,23.82784653
control,fmr1,-1,-1,29.02506256
control,fmr1,-1,-1,29.04042625
control,fmr1,-1,NA,29.20014763
control,fmr1,33.40670776,34.42627335,25.356987
control,fmr1,33.5161438,33.57812119,25.39126205
control,fmr1,33.12648392,34.67239761,25.42825699
control,fmr1,NA,35.21615219,24.71700287
control,fmr1,34.08581161,33.66561127,24.71705246
control,fmr1,34.0885849,34.34098053,24.9011097
trained,fmr1,35.19299698,33.26704025,25.67910385
trained,fmr1,34.45801544,32.93992996,25.75613594
trained,fmr1,36.87175369,33.57135773,25.91711426
trained,fmr1,31.92525482,32.3731041,21.67822647
trained,fmr1,31.98428345,32.1714859,21.8482151
trained,fmr1,32.05524063,32.25984573,NA
trained,fmr1,33.99665833,34.80743027,26.92713547
trained,fmr1,34.52233124,34.32191849,26.96572113
trained,fmr1,36.19083786,34.39385223,27.08987236
trained,fmr1,35.1064682,35.88806915,24.99666595
trained,fmr1,35.02765656,34.75188065,25.01341057
trained,fmr1,35.23407745,35.14170456,25.10553169
trained,fmr1,-1,-1,26.06641006
trained,fmr1,36.25031662,36.3382988,26.11288071
trained,fmr1,-1,-1,26.13590813
trained,fmr1,35.19299698,33.26704025,25.67910385
trained,fmr1,34.45801544,32.93992996,25.75613594
trained,fmr1,36.87175369,33.57135773,25.91711426
trained,fmr1,31.92525482,32.3731041,21.67822647
trained,fmr1,31.98428345,32.1714859,21.8482151
trained,fmr1,32.05524063,32.25984573,NA
trained,fmr1,33.99665833,34.80743027,26.92713547
trained,fmr1,34.52233124,34.32191849,26.96572113
trained,fmr1,36.19083786,34.39385223,27.08987236
trained,fmr1,35.1064682,35.88806915,24.99666595
trained,fmr1,35.02765656,34.75188065,25.01341057
trained,fmr1,35.23407745,35.14170456,25.10553169
trained,fmr1,-1,-1,26.06641006
trained,fmr1,36.25031662,36.3382988,26.11288071
trained,fmr1,-1,-1,26.13590813
control,wt,35.60031509,35.05534744,26.18714905
control,wt,36.07208633,34.98841095,26.2336483
