* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 04-04-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-04-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-04-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-04-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-04-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-04-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-04-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-04-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-04-2016
* Calibration ROI is expired  = No
* Calibration ROI performed on = 04-04-2016
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 04-04-2016
* Chemistry = SYBR_GREEN
* Date Created = 2016-07-20 13:59:46 PM EDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = E:\molecularGroup\2016-07-20_115248_ShaynNicole_CREB_PkcZ_Htt.eds
* Experiment Name = 2016-07-20_115248_ShaynNicole_CREB_PkcZ_Htt
* Experiment Run End Time = 2016-07-20 21:42:08 PM EDT
* Experiment Type = Standard Curve
* Instrument Name =       272310148
* Instrument Serial Number = 272310148
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	MTP	HIGHSD	Tm1	Tm2	Tm3	Tm4
24	B12	false		ShaynHtt	STANDARD	SYBR	None	23.199	23.133	0.151	256.000			33.794	0.998	-4.413	68.501	true	0.939	true	3	17	Amp		0.968	N	N	85.484			
25	C1	false		NicoleCREB	STANDARD	SYBR	None	23.839	23.796	0.066	64.000			30.476	0.986	-3.556	91.066	true	1.317	true	3	17	Amp		0.983	N	N	80.888			
26	C2	false		NicoleCREB	STANDARD	SYBR	None	23.720	23.796	0.066	64.000			30.476	0.986	-3.556	91.066	true	1.317	true	3	16	Amp		0.988	N	N	80.888			
27	C3	false		NicoleCREB	STANDARD	SYBR	None	23.829	23.796	0.066	64.000			30.476	0.986	-3.556	91.066	true	1.317	true	3	16	Amp		0.986	N	N	80.888			
28	C4	false		NicolePkcZ	STANDARD	SYBR	None	24.606	24.536	0.071	64.000			31.567	0.975	-3.757	84.589	true	0.630	true	3	18	Amp		0.991	N	N	86.598			
29	C5	false		NicolePkcZ	STANDARD	SYBR	None	24.538	24.536	0.071	64.000			31.567	0.975	-3.757	84.589	true	0.630	true	3	19	Amp		0.994	N	N	86.598			
30	C6	false		NicolePkcZ	STANDARD	SYBR	None	24.464	24.536	0.071	64.000			31.567	0.975	-3.757	84.589	true	0.630	true	3	18	Amp		0.990	N	N	86.598			
31	C7	false		ShaynCREB	STANDARD	SYBR	None	23.595	23.678	0.088	64.000			30.603	0.976	-3.677	87.061	true	1.319	true	3	16	Amp		0.987	N	N	80.749			
32	C8	false		ShaynCREB	STANDARD	SYBR	None	23.669	23.678	0.088	64.000			30.603	0.976	-3.677	87.061	true	1.319	true	3	16	Amp		0.988	N	N	80.749			
33	C9	false		ShaynCREB	STANDARD	SYBR	None	23.770	23.678	0.088	64.000			30.603	0.976	-3.677	87.061	true	1.319	true	3	16	Amp		0.988	N	N	80.888			
34	C10	false		ShaynHtt	STANDARD	SYBR	None	25.831	25.844	0.100	64.000			33.794	0.998	-4.413	68.501	true	0.939	true	3	18	Amp		0.986	N	N	85.205			
35	C11	false		ShaynHtt	STANDARD	SYBR	None	25.950	25.844	0.100	64.000			33.794	0.998	-4.413	68.501	true	0.939	true	3	18	Amp		0.989	N	N	85.344			
36	C12	false		ShaynHtt	STANDARD	SYBR	None	25.752	25.844	0.100	64.000			33.794	0.998	-4.413	68.501	true	0.939	true	3	18	Amp		0.985	N	N	85.344			
