* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 04-03-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-03-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-03-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-03-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-03-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-03-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-03-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-03-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-03-2016
* Calibration ROI is expired  = No
* Calibration ROI performed on = 04-03-2016
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 04-03-2016
* Chemistry = TAQMAN
* Date Created = 2016-07-20 13:59:22 PM EDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = E:\molecularGroup\2016-07-20_112033_AR.eds
* Experiment Name = 2016-07-20_112033
* Experiment Run End Time = 2016-07-20 21:33:32 PM EDT
* Experiment Type = Standard Curve
* Instrument Name =       272310147
* Instrument Serial Number = 272310147
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	AMPNC	PRFLOW	NOISE	SPIKE	DRNMIN	PRFDROP	HIGHSD
22	B10	false		Ariane_Piota	STANDARD	FAM	NFQ-MGB	24.820	24.430	1.021	256.000			29.322	0.836	-2.418	159.168	true	0.114	true	3	20	Amp		0.991	N	N	N	N	N	N	Y
23	B11	false		Ariane_Piota	STANDARD	FAM	NFQ-MGB	25.198	24.430	1.021	256.000			29.322	0.836	-2.418	159.168	true	0.114	true	3	20	Amp		0.986	N	N	N	N	N	N	Y
24	B12	false		Ariane_Piota	STANDARD	FAM	NFQ-MGB	23.271	24.430	1.021	256.000			29.322	0.836	-2.418	159.168	true	0.114	true	3	17	Amp		0.842	N	N	N	N	N	N	Y
25	C1	false		Raina_18S	STANDARD	FAM	NFQ-MGB	11.003	11.145	0.146	64.000			23.670	0.760	-6.316	43.989	true	0.371	true	3	6	Amp		0.982	N	N	N	N	N	N	N
26	C2	false		Raina_18S	STANDARD	FAM	NFQ-MGB	11.139	11.145	0.146	64.000			23.670	0.760	-6.316	43.989	true	0.371	true	3	7	Amp		0.927	N	N	N	N	N	N	N
27	C3	false		Raina_18S	STANDARD	FAM	NFQ-MGB	11.295	11.145	0.146	64.000			23.670	0.760	-6.316	43.989	true	0.371	true	3	7	Amp		0.915	N	N	N	N	N	N	N
28	C4	false		Raina_Fmr1	STANDARD	FAM	NFQ-MGB	26.170	26.146	0.049	64.000			32.484	0.999	-3.455	94.716	true	0.599	true	3	18	Amp		0.990	N	N	N	N	N	N	N
29	C5	false		Raina_Fmr1	STANDARD	FAM	NFQ-MGB	26.178	26.146	0.049	64.000			32.484	0.999	-3.455	94.716	true	0.599	true	3	19	Amp		0.961	N	N	N	N	N	N	N
30	C6	false		Raina_Fmr1	STANDARD	FAM	NFQ-MGB	26.089	26.146	0.049	64.000			32.484	0.999	-3.455	94.716	true	0.599	true	3	18	Amp		0.978	N	N	N	N	N	N	N
31	C7	false		Ariane_18S	STANDARD	FAM	NFQ-MGB	9.963	10.002	0.066	64.000			13.589	0.961	-2.047	207.927	true	0.341	true	3	5	Amp		0.986	N	N	N	N	N	N	N
32	C8	false		Ariane_18S	STANDARD	FAM	NFQ-MGB	9.964	10.002	0.066	64.000			13.589	0.961	-2.047	207.927	true	0.341	true	3	6	Amp		0.979	N	N	N	N	N	N	N
33	C9	false		Ariane_18S	STANDARD	FAM	NFQ-MGB	10.077	10.002	0.066	64.000			13.589	0.961	-2.047	207.927	true	0.341	true	3	5	Amp		0.981	N	N	N	N	N	N	N
34	C10	false		Ariane_Piota	STANDARD	FAM	NFQ-MGB	24.472	25.064	0.518	64.000			29.322	0.836	-2.418	159.168	true	0.114	true	3	19	Amp		0.983	N	N	N	N	N	N	Y
35	C11	false		Ariane_Piota	STANDARD	FAM	NFQ-MGB	25.288	25.064	0.518	64.000			29.322	0.836	-2.418	159.168	true	0.114	true	3	20	Amp		0.990	N	N	N	N	N	N	Y
36	C12	false		Ariane_Piota	STANDARD	FAM	NFQ-MGB	25.433	25.064	0.518	64.000			29.322	0.836	-2.418	159.168	true	0.114	true	3	20	Amp		0.991	N	N	N	N	N	N	Y
37	D1	false		Raina_18S	STANDARD	FAM	NFQ-MGB	12.883	12.889	0.033	16.000			23.670	0.760	-6.316	43.989	true	0.371	true	3	7	Amp		0.989	N	N	N	N	N	N	N
38	D2	false		Raina_18S	STANDARD	FAM	NFQ-MGB	12.924	12.889	0.033	16.000			23.670	0.760	-6.316	43.989	true	0.371	true	3	8	Amp		0.970	N	N	N	N	N	N	N
39	D3	false		Raina_18S	STANDARD	FAM	NFQ-MGB	12.859	12.889	0.033	16.000			23.670	0.760	-6.316	43.989	true	0.371	true	3	7	Amp		0.970	N	N	N	N	N	N	N
40	D4	false		Raina_Fmr1	STANDARD	FAM	NFQ-MGB	28.348	28.341	0.084	16.000			32.484	0.999	-3.455	94.716	true	0.599	true	3	21	Amp		0.963	N	N	N	N	N	N	N
41	D5	false		Raina_Fmr1	STANDARD	FAM	NFQ-MGB	28.253	28.341	0.084	16.000			32.484	0.999	-3.455	94.716	true	0.599	true	3	21	Amp		0.963	N	N	N	N	N	N	N
42	D6	false		Raina_Fmr1	STANDARD	FAM	NFQ-MGB	28.421	28.341	0.084	16.000			32.484	0.999	-3.455	94.716	true	0.599	true	3	22	Amp		0.991	N	N	N	N	N	N	N
43	D7	false		Ariane_18S	STANDARD	FAM	NFQ-MGB	10.586	10.757	0.205	16.000			13.589	0.961	-2.047	207.927	true	0.341	true	3	6	Amp		0.987	N	N	N	N	N	N	N
44	D8	false		Ariane_18S	STANDARD	FAM	NFQ-MGB	10.703	10.757	0.205	16.000			13.589	0.961	-2.047	207.927	true	0.341	true	3	5	Amp		0.989	N	N	N	N	N	N	N
