* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 04-03-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-03-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-03-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-03-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-03-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-03-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-03-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-03-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-03-2016
* Calibration ROI is expired  = No
* Calibration ROI performed on = 04-03-2016
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 04-03-2016
* Chemistry = SYBR_GREEN
* Date Created = 2016-07-21 20:37:33 PM EDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = Z:\NSB_2016\4_MouseMolecular\qPCR-mouse\molecularGroup\2016-07-17_184859_ArctoFmr1.eds
* Experiment Name = 2016-07-17_184859_ArctoFmr1
* Experiment Run End Time = 2016-07-18 04:36:05 AM EDT
* Experiment Type = Standard Curve
* Instrument Name =       272310147
* Instrument Serial Number = 272310147
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	EXPFAIL	HIGHSD	CQCONF	Tm1	Tm2	Tm3	Tm4
27	C3	false		Arc	STANDARD	SYBR	None	32.755	33.863	1.114	16.000			34.629	0.472	-1.243	537.157	true	0.863	true	3	26	Amp			N	Y	N	81.690			
28	C4	false		Bdnf1	STANDARD	SYBR	None	24.325	22.339	1.877	16.000			26.620	0.770	-3.725	85.557	true	0.118	true	3	20	Amp			N	Y	Y	86.279			
29	C5	false		Bdnf1	STANDARD	SYBR	None	22.095	22.339	1.877	16.000			26.620	0.770	-3.725	85.557	true	0.118	true	3	18	Amp			N	Y	Y	86.557			
30	C6	false		Bdnf1	STANDARD	SYBR	None	20.595	22.339	1.877	16.000			26.620	0.770	-3.725	85.557	true	0.118	true	3	16	Amp			N	Y	Y	86.696			
31	C7	false		Cam2a1	STANDARD	SYBR	None	24.373	22.066	2.119	16.000			26.266	0.677	-3.678	87.004	true	0.448	true	3	18	Amp			N	Y	N	84.193			
32	C8	false		Cam2a1	STANDARD	SYBR	None	21.619	22.066	2.119	16.000			26.266	0.677	-3.678	87.004	true	0.448	true	3	16	Amp			N	Y	N	84.471			
33	C9	false		Cam2a1	STANDARD	SYBR	None	20.206	22.066	2.119	16.000			26.266	0.677	-3.678	87.004	true	0.448	true	3	15	Amp			N	Y	N	84.332			
35	C11	false		Fmr1	STANDARD	SYBR	None	31.113	30.035	1.525	16.000			37.526	0.718	-5.442	52.677	true	0.162	true	3	26	Amp			N	Y	N	86.696			
36	C12	false		Fmr1	STANDARD	SYBR	None	28.957	30.035	1.525	16.000			37.526	0.718	-5.442	52.677	true	0.162	true	3	24	Amp			N	Y	N	86.696			
38	D2	false		Arc	STANDARD	SYBR	None	32.918	32.918		8.000			34.629	0.472	-1.243	537.157	true	0.863	true	3	25	Amp			N	N	N	81.551			
40	D4	false		Bdnf1	STANDARD	SYBR	None	24.645	23.007	1.541	8.000			26.620	0.770	-3.725	85.557	true	0.118	true	3	20	Amp			N	Y	Y	86.279			
41	D5	false		Bdnf1	STANDARD	SYBR	None	22.791	23.007	1.541	8.000			26.620	0.770	-3.725	85.557	true	0.118	true	3	18	Amp			N	Y	Y	86.557			
