Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,HIGHSD,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,BHK,FMR1,UNKNOWN,SYBR,None,33.738,33.738,,,,,,,,,TRUE,0.513,TRUE,3,28,Amp,,0.957,N,86.574,,,
4,A4,FALSE,BHM,FMR1,UNKNOWN,SYBR,None,32.480,32.480,,,,,,,,,TRUE,0.513,TRUE,3,25,Amp,,0.957,N,86.018,,,
7,A7,FALSE,BHK,PrkcI,UNKNOWN,SYBR,None,26.953,25.829,2.061,,,,,,,,TRUE,0.628,TRUE,3,20,Amp,,0.974,Y,80.731,,,
8,A8,FALSE,BHK,PrkcI,UNKNOWN,SYBR,None,27.083,25.829,2.061,,,,,,,,TRUE,0.628,TRUE,3,19,Amp,,0.978,Y,80.314,,,
9,A9,FALSE,BHK,PrkcI,UNKNOWN,SYBR,None,23.451,25.829,2.061,,,,,,,,TRUE,0.628,TRUE,3,17,Amp,,0.988,Y,80.453,,,
10,A10,FALSE,BHM,PrkcI,UNKNOWN,SYBR,None,22.724,22.737,0.018,,,,,,,,TRUE,0.628,TRUE,3,16,Amp,,0.985,N,80.453,,,
12,A12,FALSE,BHM,PrkcI,UNKNOWN,SYBR,None,22.750,22.737,0.018,,,,,,,,TRUE,0.628,TRUE,3,16,Amp,,0.982,N,80.314,,,
13,B1,FALSE,BOA,FMR1,UNKNOWN,SYBR,None,32.855,32.980,0.287,,,,,,,,TRUE,0.513,TRUE,3,26,Amp,,0.977,N,86.574,,,
14,B2,FALSE,BOA,FMR1,UNKNOWN,SYBR,None,32.776,32.980,0.287,,,,,,,,TRUE,0.513,TRUE,3,26,Amp,,0.979,N,86.574,,,
15,B3,FALSE,BOA,FMR1,UNKNOWN,SYBR,None,33.309,32.980,0.287,,,,,,,,TRUE,0.513,TRUE,3,27,Amp,,0.975,N,86.435,,,
16,B4,FALSE,BOC,FMR1,UNKNOWN,SYBR,None,33.870,34.024,0.219,,,,,,,,TRUE,0.513,TRUE,3,27,Amp,,0.966,N,86.574,,,
18,B6,FALSE,BOC,FMR1,UNKNOWN,SYBR,None,34.179,34.024,0.219,,,,,,,,TRUE,0.513,TRUE,3,27,Amp,,0.953,N,86.435,,,
19,B7,FALSE,BOA,PrkcI,UNKNOWN,SYBR,None,26.125,25.529,0.569,,,,,,,,TRUE,0.628,TRUE,3,19,Amp,,0.973,Y,80.731,,,
20,B8,FALSE,BOA,PrkcI,UNKNOWN,SYBR,None,24.990,25.529,0.569,,,,,,,,TRUE,0.628,TRUE,3,18,Amp,,0.985,Y,80.731,,,
21,B9,FALSE,BOA,PrkcI,UNKNOWN,SYBR,None,25.474,25.529,0.569,,,,,,,,TRUE,0.628,TRUE,3,18,Amp,,0.980,Y,80.453,,,
22,B10,FALSE,BOC,PrkcI,UNKNOWN,SYBR,None,22.922,22.941,0.083,,,,,,,,TRUE,0.628,TRUE,3,18,Amp,,0.970,N,80.453,,,
23,B11,FALSE,BOC,PrkcI,UNKNOWN,SYBR,None,22.870,22.941,0.083,,,,,,,,TRUE,0.628,TRUE,3,16,Amp,,0.988,N,80.314,,,
24,B12,FALSE,BOC,PrkcI,UNKNOWN,SYBR,None,23.032,22.941,0.083,,,,,,,,TRUE,0.628,TRUE,3,17,Amp,,0.983,N,80.314,,,
25,C1,FALSE,BLE,FMR1,UNKNOWN,SYBR,None,34.014,33.482,0.753,,,,,,,,TRUE,0.513,TRUE,3,27,Amp,,0.958,Y,86.574,,,
26,C2,FALSE,BLE,FMR1,UNKNOWN,SYBR,None,32.949,33.482,0.753,,,,,,,,TRUE,0.513,TRUE,3,26,Amp,,0.971,Y,86.435,,,
28,C4,FALSE,BLG,FMR1,UNKNOWN,SYBR,None,34.265,34.040,0.317,,,,,,,,TRUE,0.513,TRUE,3,27,Amp,,0.958,N,86.435,,,
29,C5,FALSE,BLG,FMR1,UNKNOWN,SYBR,None,33.816,34.040,0.317,,,,,,,,TRUE,0.513,TRUE,3,27,Amp,,0.964,N,86.296,,,
31,C7,FALSE,BLE,PrkcI,UNKNOWN,SYBR,None,23.212,23.544,0.470,,,,,,,,TRUE,0.628,TRUE,3,17,Amp,,0.986,N,80.592,,,
32,C8,FALSE,BLE,PrkcI,UNKNOWN,SYBR,None,23.876,23.544,0.470,,,,,,,,TRUE,0.628,TRUE,3,17,Amp,,0.983,N,80.592,,,
35,C11,FALSE,BLG,PrkcI,UNKNOWN,SYBR,None,23.006,22.942,0.090,,,,,,,,TRUE,0.628,TRUE,3,16,Amp,,0.986,N,80.592,,,
36,C12,FALSE,BLG,PrkcI,UNKNOWN,SYBR,None,22.878,22.942,0.090,,,,,,,,TRUE,0.628,TRUE,3,17,Amp,,0.983,N,80.592,,,
37,D1,FALSE,BYU,FMR1,UNKNOWN,SYBR,None,34.979,34.744,0.831,,,,,,,,TRUE,0.513,TRUE,3,28,Amp,,0.957,Y,86.574,,,
38,D2,FALSE,BYU,FMR1,UNKNOWN,SYBR,None,33.820,34.744,0.831,,,,,,,,TRUE,0.513,TRUE,3,27,Amp,,0.974,Y,86.435,,,
39,D3,FALSE,BYU,FMR1,UNKNOWN,SYBR,None,35.432,34.744,0.831,,,,,,,,TRUE,0.513,TRUE,3,28,Amp,,0.966,Y,86.296,,,
40,D4,FALSE,BYW,FMR1,UNKNOWN,SYBR,None,33.192,34.249,0.929,,,,,,,,TRUE,0.513,TRUE,3,26,Amp,,0.974,Y,86.435,,,
41,D5,FALSE,BYW,FMR1,UNKNOWN,SYBR,None,34.622,34.249,0.929,,,,,,,,TRUE,0.513,TRUE,3,27,Amp,,0.970,Y,86.435,,,
42,D6,FALSE,BYW,FMR1,UNKNOWN,SYBR,None,34.933,34.249,0.929,,,,,,,,TRUE,0.513,TRUE,3,28,Amp,,0.969,Y,86.574,,,
43,D7,FALSE,BYU,PrkcI,UNKNOWN,SYBR,None,22.846,24.028,1.327,,,,,,,,TRUE,0.628,TRUE,3,17,Amp,,0.988,Y,80.592,,,
44,D8,FALSE,BYU,PrkcI,UNKNOWN,SYBR,None,23.775,24.028,1.327,,,,,,,,TRUE,0.628,TRUE,3,17,Amp,,0.990,Y,80.592,,,
45,D9,FALSE,BYU,PrkcI,UNKNOWN,SYBR,None,25.463,24.028,1.327,,,,,,,,TRUE,0.628,TRUE,3,18,Amp,,0.980,Y,80.453,,,
46,D10,FALSE,BYW,PrkcI,UNKNOWN,SYBR,None,24.060,23.517,0.485,,,,,,,,TRUE,0.628,TRUE,3,17,Amp,,0.986,N,80.314,,,
47,D11,FALSE,BYW,PrkcI,UNKNOWN,SYBR,None,23.361,23.517,0.485,,,,,,,,TRUE,0.628,TRUE,3,17,Amp,,0.990,N,80.453,,,
48,D12,FALSE,BYW,PrkcI,UNKNOWN,SYBR,None,23.129,23.517,0.485,,,,,,,,TRUE,0.628,TRUE,3,16,Amp,,0.987,N,80.592,,,
49,E1,FALSE,BHL,FMR1,UNKNOWN,SYBR,None,33.735,34.175,0.541,,,,,,,,TRUE,0.513,TRUE,3,27,Amp,,0.960,Y,86.018,,,
50,E2,FALSE,BHL,FMR1,UNKNOWN,SYBR,None,34.012,34.175,0.541,,,,,,,,TRUE,0.513,TRUE,3,27,Amp,,0.957,Y,86.435,,,
51,E3,FALSE,BHL,FMR1,UNKNOWN,SYBR,None,34.779,34.175,0.541,,,,,,,,TRUE,0.513,TRUE,3,28,Amp,,0.956,Y,86.435,,,
52,E4,FALSE,BHO,FMR1,UNKNOWN,SYBR,None,33.631,34.152,0.652,,,,,,,,TRUE,0.513,TRUE,3,27,Amp,,0.988,Y,86.435,,,
53,E5,FALSE,BHO,FMR1,UNKNOWN,SYBR,None,33.942,34.152,0.652,,,,,,,,TRUE,0.513,TRUE,3,27,Amp,,0.988,Y,86.296,,,
54,E6,FALSE,BHO,FMR1,UNKNOWN,SYBR,None,34.883,34.152,0.652,,,,,,,,TRUE,0.513,TRUE,3,27,Amp,,0.985,Y,86.296,,,
55,E7,FALSE,BHL,PrkcI,UNKNOWN,SYBR,None,23.330,25.885,2.329,,,,,,,,TRUE,0.628,TRUE,3,17,Amp,,0.984,Y,80.592,,,
56,E8,FALSE,BHL,PrkcI,UNKNOWN,SYBR,None,27.889,25.885,2.329,,,,,,,,TRUE,0.628,TRUE,3,21,Amp,,0.963,Y,80.731,,,
57,E9,FALSE,BHL,PrkcI,UNKNOWN,SYBR,None,26.436,25.885,2.329,,,,,,,,TRUE,0.628,TRUE,3,19,Amp,,0.967,Y,80.314,,,
58,E10,FALSE,BHO,PrkcI,UNKNOWN,SYBR,None,23.681,23.532,0.154,,,,,,,,TRUE,0.628,TRUE,3,17,Amp,,0.995,N,80.314,,,
59,E11,FALSE,BHO,PrkcI,UNKNOWN,SYBR,None,23.541,23.532,0.154,,,,,,,,TRUE,0.628,TRUE,3,16,Amp,,0.997,N,80.453,,,
60,E12,FALSE,BHO,PrkcI,UNKNOWN,SYBR,None,23.374,23.532,0.154,,,,,,,,TRUE,0.628,TRUE,3,17,Amp,,0.994,N,80.453,,,
61,F1,FALSE,BOB,FMR1,UNKNOWN,SYBR,None,33.862,33.101,0.664,,,,,,,,TRUE,0.513,TRUE,3,27,Amp,,0.955,Y,86.435,,,
62,F2,FALSE,BOB,FMR1,UNKNOWN,SYBR,None,32.644,33.101,0.664,,,,,,,,TRUE,0.513,TRUE,3,26,Amp,,0.964,Y,86.435,,,
63,F3,FALSE,BOB,FMR1,UNKNOWN,SYBR,None,32.797,33.101,0.664,,,,,,,,TRUE,0.513,TRUE,3,26,Amp,,0.964,Y,86.435,,,
64,F4,FALSE,BOD,FMR1,UNKNOWN,SYBR,None,35.210,34.672,0.761,,,,,,,,TRUE,0.513,TRUE,3,28,Amp,,0.978,Y,86.435,,,
66,F6,FALSE,BOD,FMR1,UNKNOWN,SYBR,None,34.134,34.672,0.761,,,,,,,,TRUE,0.513,TRUE,3,27,Amp,,0.977,Y,86.435,,,
