Tube,Mouse,Slice,Punch,Date,ready.time,start.time,Slice.collector,storagebox,notes.x
BKH,16-123A,3,slice,7/2/16,12:15,12:28,MK,Slices Box 1,
BKI,16-123A,4,slice,7/2/16,12:15,12:28,MK,Slices Box 1,
EBG,16-123A,5,slice,7/3/16,12:15,13:09,MK,Slices Box 2,
EAC,16-123A,5,CA2,7/2/16,12:15,13:09,MK,Student Punches 1,
EAD,16-123A,5,CA3,7/2/16,12:15,13:09,MK,Student Punches 1,
EAE,16-123A,5,CA3,7/2/16,12:15,13:09,MK,Student Punches 1,
EAG,16-123A,5,DG,7/2/16,12:15,13:09,MK,Student Punches 1,
EAA,16-123A,5,CA1,7/2/16,12:15,13:09,MK,Student Punches 1,
EAB,16-123A,5,CA1,7/2/16,12:15,13:09,MK,Student Punches 1,
BJH,16-123B,1,slice,7/1/16,15:20,15:30,MK,Slices Box 1,
BJI,16-123B,2,slice,7/1/16,15:20,15:30,MK,Slices Box 1,
BJJ,16-123B,3,slice,7/1/16,15:20,15:30,MK,Slices Box 1,
BJK,16-123B,4,slice,7/1/16,15:20,15:30,MK,Slices Box 1,
BLE,16-123C,1,slice,7/3/16,12:10,12:24,MK,Slices Box 1,
BLF,16-123C,2,slice,7/3/16,12:10,12:24,MK,Slices Box 1,
BLG,16-123C,3,slice,7/3/16,12:10,12:24,MK,Slices Box 1,
BLH,16-123C,4,slice,7/3/16,12:10,12:24,MK,Slices Box 1,
EBM,16-123C,5,DG,7/3/16,11:00,12:40,MK,Student Punches 1,
EBN,16-123C,5,CA1,7/3/16,11:00,12:40,MK,Student Punches 1,
EBO,16-123C,5,CA2,7/3/16,11:00,12:40,MK,Student Punches 1,
BMD,16-123D,1,slice,7/3/16,23:00,23:05,MK,Slices Box 1,
BME,16-123D,2,slice,7/3/16,23:00,23:05,MK,Slices Box 1,
BMF,16-123D,3,slice,7/3/16,23:00,23:05,MK,Slices Box 1,
BMG,16-123D,4,slice,7/3/16,23:00,23:05,MK,Slices Box 1,
ECN,16-123D,5,slice,7/3/16,23:00,23:30,MK,Slices Box 2,
EBU,16-123D,5,DG,7/3/16,23:00,23:30,MK,Student Punches 1,
EBV,16-123D,5,CA1,7/3/16,23:00,23:30,MK,Student Punches 1,
EBW,16-123D,5,CA3,7/3/16,23:00,23:30,MK,Student Punches 1,
EBX,16-123D,5,CA2,7/3/16,23:00,23:30,MK,Student Punches 1,
BWU,16-124A,1,slice,7/9/16,17:00,17:23,MK,Slices Box 2,
BWV,16-124A,2,slice,7/9/16,17:00,17:23,MK,Slices Box 2,
BWW,16-124A,3,slice,7/9/16,17:00,17:23,MK,Slices Box 2,
BWX,16-124A,4,slice,7/9/16,17:00,17:23,MK,Slices Box 2,
BUY,16-124B,1,slice,7/9/16,21:50,21:59,MK,Slices Box 2,
BUZ,16-124B,2,slice,7/9/16,21:50,21:59,MK,Slices Box 2,
BWA,16-124B,3,slice,7/9/16,21:50,21:59,MK,Slices Box 2,
BWB,16-124B,4,slice,7/9/16,21:50,21:59,MK,Slices Box 2,
BYU,16-124C,1,slice,7/13/16,23:45,0:15,MK,Slice Box 3,
BYV,16-124C,2,slice,7/13/16,23:45,0:15,MK,Slice Box 3,
BYW,16-124C,3,slice,7/13/16,23:45,0:15,MK,Slice Box 3,
BYX,16-124C,4,slice,7/13/16,23:45,0:15,MK,Slice Box 3,
BXT,16-124D,2,slice,7/13/16,10:10,10:30,MK,Slice Box 2,
BXW,16-124D,3,slice,7/13/16,10:10,10:30,MK,Slice Box 2,
BXX,16-124D,4,slice,7/13/16,10:10,10:30,MK,Slice Box 2,
BGL,16-126B,1,slice,6/27/16,11:30,11:34,MK,Slices Box 1,
BGM,16-126B,2,slice,6/27/16,11:30,11:34,MK,Slices Box 1,
BGO,16-126B,3,slice,6/27/16,11:30,11:34,MK,Slices Box 1,
BGP,16-126B,4,slice,6/27/16,11:30,11:34,MK,Slices Box 1,
EGX,16-256,1,DG,7/7/16,14:00,14:45,JMA,Slices Box 1,
EGY,16-256,2,DG,7/7/16,14:00,14:45,JMA,Slices Box 1,
EGZ,16-256,3,DG,7/7/16,14:00,14:45,JMA,Slices Box 1,
EHO,16-256,4,slice,7/7/16,14:00,14:45,JMA,Slices Box 2,
EHP,16-256,3,slice,7/7/16,14:00,14:45,JMA,Slices Box 2,
EHQ,16-256,2,slice,7/7/16,14:00,14:45,JMA,Slices Box 2,
EHR,16-256,1,slice,7/7/16,14:00,14:45,JMA,Slices Box 2,
EGT,16-256,1,CA1,7/7/16,14:00,14:45,JMA,Student Punches 2,
EGU,16-256,2,CA1,7/7/16,14:00,14:45,JMA,Student Punches 2,
EGV,16-256,3,CA1,7/7/16,14:00,14:45,JMA,Student Punches 2,
EGW,16-256,4,CA1,7/7/16,14:00,14:45,JMA,Student Punches 2,
EHA,16-256,4,DG,7/7/16,14:00,14:45,JMA,Student Punches 2,
EHB,16-256,1,CA3,7/7/16,14:00,14:45,JMA,Student Punches 2,
EHC,16-256,2,CA3,7/7/16,14:00,14:45,JMA,Student Punches 2,
EHD,16-256,3,CA3,7/7/16,14:00,14:45,JMA,Student Punches 2,
EHE,16-256,4,CA3,7/7/16,14:00,14:45,JMA,Student Punches 2,
EHF,16-256,1,CA2,7/7/16,14:00,14:45,JMA,Student Punches 2,
EHG,16-256,2,CA2,7/7/16,14:00,14:45,JMA,Student Punches 2,
EHH,16-256,3,CA2,7/7/16,14:00,14:45,JMA,Student Punches 2,
EHI,16-256,4,CA2,7/7/16,14:00,14:45,JMA,Student Punches 2,
EHJ,16-256,1,CA4,7/7/16,14:00,14:45,JMA,Student Punches 2,
EHK,16-256,2,CA4,7/7/16,14:00,14:45,JMA,Student Punches 2,
EHL,16-256,3,CA4,7/7/16,14:00,14:45,JMA,Student Punches 2,
EHM,16-256,4,CA4,7/7/16,14:00,14:45,JMA,Student Punches 2,
EKR,16-256A,1,CA4,7/9/16,19:30,19:46,JMA,Slices Box 2,
EKS,16-256A,2,CA4,7/9/16,17:30,18:00,JMA,Slices Box 2,
EKT,16-256A,3,CA4,7/9/16,17:30,18:00,JMA,Slices Box 2,
EKU,16-256A,4,CA4,7/9/16,17:30,18:00,JMA,Slices Box 2,
ELK,16-256A,1,slice,7/9/16,17:30,18:00,JMA,Slices Box 2,
ELL,16-256A,2,slice,7/9/16,17:30,18:00,JMA,Slices Box 2,
ELM,16-256A,3,slice,7/9/16,17:30,18:00,JMA,Slices Box 2,
ELN,16-256A,4,slice,7/9/16,17:30,18:00,JMA,Slices Box 2,
EKV,16-256A,1,CA2,7/9/16,17:30,18:00,JMA,Student Punches 3,
EKV2,16-256A,2,CA2,7/9/16,17:30,18:00,JMA,Student Punches 3,
EKW,16-256A,3,CA2,7/9/16,17:30,18:00,JMA,Student Punches 3,
EKX,16-256A,4,CA2,7/9/16,17:30,18:00,JMA,Student Punches 3,
EKY,16-256A,1,CA3,7/9/16,17:30,18:00,JMA,Student Punches 3,
EKZ,16-256A,2,CA3,7/9/16,17:30,18:00,JMA,Student Punches 3,
ELA,16-256A,3,CA3,7/9/16,17:30,18:00,JMA,Student Punches 3,
ELB,16-256A,4,CA3,7/9/16,17:30,18:00,JMA,Student Punches 3,
ELC,16-256A,1,CA1,7/9/16,17:30,18:00,JMA,Student Punches 3,
ELD,16-256A,2,CA1,7/9/16,17:30,18:00,JMA,Student Punches 3,
ELE,16-256A,3,CA1,7/9/16,17:30,18:00,JMA,Student Punches 3,
ELF,16-256A,4,CA1,7/9/16,17:30,18:00,JMA,Student Punches 3,
ELG,16-256A,1,DG,7/9/16,17:30,18:00,JMA,Student Punches 3,
ELH,16-256A,2,DG,7/9/16,17:30,18:00,JMA,Student Punches 3,
ELI,16-256A,3,DG,7/9/16,17:30,18:00,JMA,Student Punches 3,
ELJ,16-256A,4,DG,7/9/16,17:30,18:00,JMA,Student Punches 3,
EXM,16-257A,1,slice,7/14/16,20:30,20:50,JMA,Slices Box 3,
EXN,16-257A,2,slice,7/14/16,20:30,20:50,JMA,Slices Box 3,
EXQ,16-257A,3,slice,7/14/16,20:30,20:50,JMA,Slices Box 3,
EXR,16-257A,4,slice,7/14/16,20:30,20:50,JMA,Slices Box 3,
EXC,16-257A,1,CA4,7/14/16,20:30,20:50,JMA,Student Punches 6,
EXD,16-257A,2,DG,7/14/16,20:30,20:50,JMA,Student Punches 6,
EXE,16-257A,1,DG,7/14/16,20:30,20:50,JMA,Student Punches 6,
EXF,16-257A,2,CA4,7/14/16,20:30,20:50,JMA,Student Punches 6,
EXG,16-257A,1,CA3,7/14/16,20:30,20:50,JMA,Student Punches 6,
EXH,16-257A,2,CA3,7/14/16,20:30,20:50,JMA,Student Punches 6,
EXI,16-257A,1,CA1,7/14/16,20:30,20:50,JMA,Student Punches 6,
EXJ,16-257A,2,CA1,7/14/16,20:30,20:50,JMA,Student Punches 6,
EXK,16-257A,1,CA2,7/14/16,20:30,20:50,JMA,Student Punches 6,
EXL,16-257A,2,CA2,7/14/16,20:30,20:50,JMA,Student Punches 6,
EJO,16-259,4,CA2,7/8/16,14:00,14:25,JMA,Slices Box 2,
EJP,16-259,5,CA2,7/8/16,14:00,14:25,JMA,Slices Box 2,
EJQ,16-259,1,slice,7/8/16,14:00,14:25,JMA,Slices Box 2,
EJR,16-259,2,slice,7/8/16,14:00,14:25,JMA,Slices Box 2,
EJS,16-259,3,slice,7/8/16,14:00,14:25,JMA,Slices Box 2,
EJT,16-259,4,slice,7/8/16,14:00,14:25,JMA,Slices Box 2,
EJU,16-259,5,slice,7/8/16,14:00,14:25,JMA,Slices Box 2,
EIR,16-259,1,CA1,7/8/16,14:00,14:25,JMA,Student Punches 3,
EIS,16-259,2,CA1,7/8/16,14:00,14:25,JMA,Student Punches 3,
EIT,16-259,3,CA1,7/8/16,14:00,14:25,JMA,Student Punches 3,
EIU,16-259,4,CA1,7/8/16,14:00,14:25,JMA,Student Punches 3,
EIV,16-259,5,CA1,7/8/16,14:00,14:25,JMA,Student Punches 3,
EIW,16-259,1,CA3,7/8/16,14:00,14:25,JMA,Student Punches 3,
EIX,16-259,2,CA3,7/8/16,14:00,14:25,JMA,Student Punches 3,
EIY,16-259,3,CA3,7/8/16,14:00,14:25,JMA,Student Punches 3,
EIZ,16-259,4,CA3,7/8/16,14:00,14:25,JMA,Student Punches 3,
EJA,16-259,5,CA3,7/8/16,14:00,14:25,JMA,Student Punches 3,
EJB,16-259,1,DG,7/8/16,14:00,14:25,JMA,Student Punches 3,
EJC,16-259,2,DG,7/8/16,14:00,14:25,JMA,Student Punches 3,
EJD,16-259,3,DG,7/8/16,14:00,14:25,JMA,Student Punches 3,
EJE,16-259,4,DG,7/8/16,14:00,14:25,JMA,Student Punches 3,
EJF,16-259,5,DG,7/8/16,14:00,14:25,JMA,Student Punches 3,
EJH,16-259,2,CA4,7/8/16,14:00,14:25,JMA,Student Punches 3,
EJI,16-259,3,CA4,7/8/16,14:00,14:25,JMA,Student Punches 3,
EJJ,16-259,4,CA4,7/8/16,14:00,14:25,JMA,Student Punches 3,
EJK,16-259,5,CA4,7/8/16,14:00,14:25,JMA,Student Punches 3,
