Tube,Mouse,Group,Slice,Punch,storagebox,Atlas.location,Processor,Yield,OD260.280,uLRNA,uLH20
BHK,16-116C,FMR1 Conflict Trained,1,slice,Slices Box 1,52L,Shayn,123.7,2.06,4.0,5.5
BOA,16-117C,FMR1 Conflict Trained,1,slice,Slices Box 1,47L,Shayn,140,2.06,3.6,5.9
BLE,16-123C,WT Conflict Trained,1,slice,Slices Box 1,52L,Shayn,130.1,2.05,3.8,5.7
BYU,16-124C,WT Conflict Trained,1,slice,Slice Box 3,46L,Shayn,142.6,2.04,3.5,6.0
BHL,16-116C,FMR1 Conflict Trained,2,slice,Slices Box 1,50L,Nicole,88.4,2.04,5.7,3.8
BOB,16-117C,FMR1 Conflict Trained,2,slice,Slices Box 1,46L,Nicole,125.1,2.06,4.0,5.5
BLF,16-123C,WT Conflict Trained,2,slice,Slices Box 1,44R,Nicole,102.2,2.04,4.9,4.6
BYV,16-124C,WT Conflict Trained,2,slice,Slice Box 3,45L,Nicole,101.2,2.05,4.9,4.6
BHM,16-116C,FMR1 Conflict Trained,3,slice,Slices Box 1,47L,Ariane,94.2,2.05,5.3,4.2
BOC,16-117C,FMR1 Conflict Trained,3,slice,Slices Box 1,45L,Ariane,81.9,2.04,6.1,3.4
BLG,16-123C,WT Conflict Trained,3,slice,Slices Box 1,48L,Ariane,93.8,2.04,5.3,4.2
BYW,16-124C,WT Conflict Trained,3,slice,Slice Box 3,48L,Ariane,81.5,2.01,6.1,3.4
BHO,16-116C,FMR1 Conflict Trained,4,slice,Slices Box 1,45L,Raina,66.1,2.05,7.6,1.9
BOD,16-117C,FMR1 Conflict Trained,4,slice,Slices Box 1,50L,Raina,54.9,2.02,9.1,0.4
BLA,16-123C,WT Conflict Trained,4,slice,Slices Box 1,44L,Raina,67.3,2.03,7.4,2.1
BYX,16-124C,WT Conflict Trained,4,slice,Slice Box 3,52L,Raina,56.3,2.03,8.9,0.6
,,,,whole,,,Ariane,133.2,2.05,7.5,2.0
,,,,whole,,,Raina,352.8,2.08,2.8,6.7
,,,,whole,,,Shayn,463.2,2.01,2.2,7.3
,,,,whole,,,Nicole,278.9,1.97,3.6,5.9
,,,,slice,,,Ariane,542.2,2.05,1.8,7.7
,,,,slice,,,Raina,597.2,2.09,1.7,7.8
,,,,slice,,,Shayn,540.1,2.07,1.9,7.6
,,,,slice,,,Nicole,717.2,2.08,1.4,8.1
