dna	cq	gene
3.125	32.99	grim
3.125	33.33	grim
1.5625	33.85	grim
1.5625	34.78	grim
1.5625	35.13	grim
0.78125	34.87	grim
0.78125	35.88	grim
0.39063	36.15	grim
0.39063	35.87	grim
0.19531	36.45	grim
0.19531	37.94	grim
0.09766	38.95	grim
0.09766	38.01	grim
100	27.86	fos
100	27.86	fos
100	27.91	fos
50	28.59	fos
50	28.73	fos
50	29.3	fos
25	30.19	fos
25	29.97	fos
25	29.91	fos
12.5	31.19	fos
12.5	31.4	fos
12.5	30.9	fos
6.25	31.91	fos
6.25	32.32	fos
6.25	31.82	fos
3.125	33.49	fos
3.125	33.27	fos
3.125	32.77	fos
1.5625	33.65	fos
1.5625	34.84	fos
1.5625	33.89	fos
0.78125	35.91	fos
0.78125	34.79	fos
0.78125	35.88	fos
0.39063	35.72	fos
0.39063	36.95	fos
0.39063	36.71	fos
0.04883	35.32	nsf
0.04883	35.69	nsf
0.02441	37.87	nsf
0.02441	37.49	nsf
100	24.75	nsf
100	24.77	nsf
100	24.6	nsf
50	25.72	nsf
50	25.71	nsf
50	25.78	nsf
25	26.68	nsf
25	26.76	nsf
25	26.79	nsf
12.5	27.75	nsf
12.5	27.8	nsf
12.5	27.9	nsf
6.25	29.16	nsf
6.25	28.85	nsf
6.25	28.95	nsf
3.125	30.25	nsf
3.125	30.12	nsf
3.125	29.95	nsf
1.5625	30.66	nsf
1.5625	30.9	nsf
1.5625	30.82	nsf
0.78125	31.96	nsf
0.78125	32.38	nsf
0.78125	32.24	nsf
0.39063	33.57	nsf
0.39063	32.85	nsf
0.39063	32.66	nsf
0.19531	34.41	nsf
0.19531	34.34	nsf
0.09766	35.93	nsf
0.09766	36.17	nsf
100	28.29	fmr1
100	28.47	fmr1
100	28.32	fmr1
50	29.38	fmr1
50	29.36	fmr1
50	29.47	fmr1
25	30.02	fmr1
25	30.45	fmr1
25	30.71	fmr1
12.5	30.97	fmr1
12.5	31.26	fmr1
12.5	31.6	fmr1
6.25	32.14	fmr1
6.25	32.26	fmr1
6.25	32	fmr1
3.125	32.95	fmr1
3.125	33.5	fmr1
3.125	32.85	fmr1
1.5625	34.94	fmr1
1.5625	34.01	fmr1
1.5625	34.46	fmr1
0.78125	35.45	fmr1
0.78125	35.67	fmr1
100	24.72	cam2kd
100	24.72	cam2kd
100	24.72	cam2kd
50	25.63	cam2kd
50	25.58	cam2kd
50	25.62	cam2kd
25	26.75	cam2kd
25	26.75	cam2kd
25	27.06	cam2kd
12.5	27.73	cam2kd
12.5	27.63	cam2kd
12.5	27.5	cam2kd
6.25	28.67	cam2kd
6.25	28.67	cam2kd
6.25	28.65	cam2kd
3.125	30.24	cam2kd
3.125	29.89	cam2kd
3.125	29.77	cam2kd
1.5625	30.9	cam2kd
1.5625	30.88	cam2kd
1.5625	30.7	cam2kd
0.78125	31.5	cam2kd
0.78125	31.61	cam2kd
0.78125	31.73	cam2kd
0.39063	32.73	cam2kd
0.39063	32.98	cam2kd
0.39063	32.7	cam2kd
0.19531	34.22	cam2kd
0.19531	34.44	cam2kd
0.19531	34.61	cam2kd
