Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,HIGHSD,Tm1,Tm2,Tm3,Tm4
36,C12,FALSE,,Prkci,STANDARD,SYBR,None,27.612,27.419,0.302,"1,024.000",,,39.870,0.963,-3.988,78.139,TRUE,1.060,TRUE,3,20,Amp,,0.989,N,80.574,,,
37,D1,FALSE,BYU,Rpl19,UNKNOWN,SYBR,None,19.189,19.060,0.139,,,,,,,,TRUE,0.700,TRUE,3,13,Amp,,0.976,N,82.381,,,
38,D2,FALSE,BYU,Rpl19,UNKNOWN,SYBR,None,19.077,19.060,0.139,,,,,,,,TRUE,0.700,TRUE,3,13,Amp,,0.985,N,82.520,,,
39,D3,FALSE,BYU,Rpl19,UNKNOWN,SYBR,None,18.913,19.060,0.139,,,,,,,,TRUE,0.700,TRUE,3,12,Amp,,0.984,N,82.520,,,
40,D4,FALSE,BYW,Rpl19,UNKNOWN,SYBR,None,19.194,19.130,0.057,,,,,,,,TRUE,0.700,TRUE,3,12,Amp,,0.995,N,82.520,,,
41,D5,FALSE,BYW,Rpl19,UNKNOWN,SYBR,None,19.084,19.130,0.057,,,,,,,,TRUE,0.700,TRUE,3,12,Amp,,0.991,N,82.381,,,
42,D6,FALSE,BYW,Rpl19,UNKNOWN,SYBR,None,19.113,19.130,0.057,,,,,,,,TRUE,0.700,TRUE,3,12,Amp,,0.995,N,82.242,,,
46,D10,FALSE,,Prkci,STANDARD,SYBR,None,29.909,29.810,0.140,256.000,,,39.870,0.963,-3.988,78.139,TRUE,1.060,TRUE,3,22,Amp,,0.988,N,80.574,,,
47,D11,FALSE,,Prkci,STANDARD,SYBR,None,29.711,29.810,0.140,256.000,,,39.870,0.963,-3.988,78.139,TRUE,1.060,TRUE,3,22,Amp,,0.988,N,80.713,,,
49,E1,FALSE,BHL,Rpl19,UNKNOWN,SYBR,None,19.079,19.005,0.143,,,,,,,,TRUE,0.700,TRUE,3,13,Amp,,0.991,N,81.964,,,
50,E2,FALSE,BHL,Rpl19,UNKNOWN,SYBR,None,19.095,19.005,0.143,,,,,,,,TRUE,0.700,TRUE,3,13,Amp,,0.983,N,82.381,,,
51,E3,FALSE,BHL,Rpl19,UNKNOWN,SYBR,None,18.840,19.005,0.143,,,,,,,,TRUE,0.700,TRUE,3,12,Amp,,0.989,N,82.520,,,
52,E4,FALSE,BHO,Rpl19,UNKNOWN,SYBR,None,21.040,21.002,0.040,,,,,,,,TRUE,0.700,TRUE,3,14,Amp,,0.996,N,82.520,,,
53,E5,FALSE,BHO,Rpl19,UNKNOWN,SYBR,None,20.961,21.002,0.040,,,,,,,,TRUE,0.700,TRUE,3,14,Amp,,0.997,N,82.381,,,
54,E6,FALSE,BHO,Rpl19,UNKNOWN,SYBR,None,21.003,21.002,0.040,,,,,,,,TRUE,0.700,TRUE,3,14,Amp,,0.994,N,82.381,,,
58,E10,FALSE,,Prkci,STANDARD,SYBR,None,32.984,32.977,0.011,64.000,,,39.870,0.963,-3.988,78.139,TRUE,1.060,TRUE,3,25,Amp,,0.985,N,80.574,,,
59,E11,FALSE,,Prkci,STANDARD,SYBR,None,32.969,32.977,0.011,64.000,,,39.870,0.963,-3.988,78.139,TRUE,1.060,TRUE,3,25,Amp,,0.986,N,80.852,,,
61,F1,FALSE,BOB,Rpl19,UNKNOWN,SYBR,None,18.951,18.909,0.042,,,,,,,,TRUE,0.700,TRUE,3,13,Amp,,0.974,N,82.381,,,
62,F2,FALSE,BOB,Rpl19,UNKNOWN,SYBR,None,18.907,18.909,0.042,,,,,,,,TRUE,0.700,TRUE,3,12,Amp,,0.981,N,82.381,,,
63,F3,FALSE,BOB,Rpl19,UNKNOWN,SYBR,None,18.868,18.909,0.042,,,,,,,,TRUE,0.700,TRUE,3,12,Amp,,0.990,N,82.381,,,
64,F4,FALSE,BOD,Rpl19,UNKNOWN,SYBR,None,20.909,20.827,0.080,,,,,,,,TRUE,0.700,TRUE,3,15,Amp,,0.997,N,82.520,,,
65,F5,FALSE,BOD,Rpl19,UNKNOWN,SYBR,None,20.750,20.827,0.080,,,,,,,,TRUE,0.700,TRUE,3,13,Amp,,0.997,N,82.381,,,
66,F6,FALSE,BOD,Rpl19,UNKNOWN,SYBR,None,20.823,20.827,0.080,,,,,,,,TRUE,0.700,TRUE,3,14,Amp,,0.997,N,82.381,,,
70,F10,FALSE,,Prkci,STANDARD,SYBR,None,37.345,37.151,0.275,16.000,,,39.870,0.963,-3.988,78.139,TRUE,1.060,TRUE,3,29,Amp,,0.958,N,81.130,,,
72,F12,FALSE,,Prkci,STANDARD,SYBR,None,36.956,37.151,0.275,16.000,,,39.870,0.963,-3.988,78.139,TRUE,1.060,TRUE,3,29,Amp,,0.972,N,81.408,,,
73,G1,FALSE,BLF,Rpl19,UNKNOWN,SYBR,None,18.840,18.812,0.080,,,,,,,,TRUE,0.700,TRUE,3,13,Amp,,0.968,N,82.381,,,
74,G2,FALSE,BLF,Rpl19,UNKNOWN,SYBR,None,18.875,18.812,0.080,,,,,,,,TRUE,0.700,TRUE,3,13,Amp,,0.982,N,82.520,,,
75,G3,FALSE,BLF,Rpl19,UNKNOWN,SYBR,None,18.722,18.812,0.080,,,,,,,,TRUE,0.700,TRUE,3,12,Amp,,0.991,N,82.520,,,
76,G4,FALSE,BLA,Rpl19,UNKNOWN,SYBR,None,21.482,21.354,0.112,,,,,,,,TRUE,0.700,TRUE,3,15,Amp,,0.997,N,82.520,,,
77,G5,FALSE,BLA,Rpl19,UNKNOWN,SYBR,None,21.279,21.354,0.112,,,,,,,,TRUE,0.700,TRUE,3,14,Amp,,0.996,N,82.520,,,
78,G6,FALSE,BLA,Rpl19,UNKNOWN,SYBR,None,21.301,21.354,0.112,,,,,,,,TRUE,0.700,TRUE,3,15,Amp,,0.997,N,82.381,,,
82,G10,FALSE,,Prkci,STANDARD,SYBR,None,37.398,37.398,,4.000,,,39.870,0.963,-3.988,78.139,TRUE,1.060,TRUE,3,29,Amp,,0.958,N,80.991,,,
85,H1,FALSE,BYV,Rpl19,UNKNOWN,SYBR,None,18.831,18.837,0.018,,,,,,,,TRUE,0.700,TRUE,3,12,Amp,,0.954,N,82.381,,,
86,H2,FALSE,BYV,Rpl19,UNKNOWN,SYBR,None,18.822,18.837,0.018,,,,,,,,TRUE,0.700,TRUE,3,12,Amp,,0.978,N,82.520,,,
87,H3,FALSE,BYV,Rpl19,UNKNOWN,SYBR,None,18.856,18.837,0.018,,,,,,,,TRUE,0.700,TRUE,3,12,Amp,,0.981,N,82.520,,,
88,H4,FALSE,BYX,Rpl19,UNKNOWN,SYBR,None,21.608,21.064,0.474,,,,,,,,TRUE,0.700,TRUE,3,15,Amp,,0.996,N,82.520,,,
89,H5,FALSE,BYX,Rpl19,UNKNOWN,SYBR,None,20.745,21.064,0.474,,,,,,,,TRUE,0.700,TRUE,3,14,Amp,,0.996,N,82.520,,,
90,H6,FALSE,BYX,Rpl19,UNKNOWN,SYBR,None,20.838,21.064,0.474,,,,,,,,TRUE,0.700,TRUE,3,13,Amp,,0.993,N,82.520,,,
94,H10,FALSE,,Prkci,STANDARD,SYBR,None,37.558,37.558,,1.000,,,39.870,0.963,-3.988,78.139,TRUE,1.060,TRUE,3,30,Inconclusive,,0.962,N,80.991,,,
