,       filename,p-miss ,total  ,total  ,# of  ,time to,path to,speed  ,entr.  ,# of   ,time to,path to,speed  ,sd of  ,line- ,max.  ,max.  ,time to,path to,speed  ,Time   ,pTime  ,pTime  ,pTime  ,pTime  ,Rayleig,Rayleig,Polar  ,Polar  ,Polar  ,Polar  ,Min    ,Min    ,Polar  ,Polar  ,Max    ,Max    ,Annular,Annular,Annular,Annular,Annular,Annular,Annular,Annular,next   ,mouse id,genotype,group,LocomotorActivity,RECENT LocomotorActivity,Punishment,Punishment,Learning,Memory,Memory,SynapseFunction,SynapsePlasticity,,PopSpike max       (mV),PospSpike Probability
,               ,       ,time   ,path   ,entr. ,first  ,first  ,first  ,per    ,shocks ,first  ,first  ,       ,speed  ,arity ,time  ,path  ,second ,second ,second ,TARG   ,TARG   ,CCW    ,OPP    ,CW     ,length ,angle  ,avg    ,sd     ,min    ,min bin,50% rng,50% rng,max    ,max bin,50% rng,50% rng,min+   ,min+bin,max    ,max bin,avg    ,sd     ,Skewnes,Kurtosi,param  ,,,,total path (m),last path (m),total shocks,last shocks,total entrances,T1 (retention),T2(retention),I/O max (mV/ms),LTP % baseline,LTB s.d.,,
,               ,       ,       ,       ,      ,entr.  ,entr.  ,entr. ,dist.   ,       ,shock  ,shock  ,       ,       ,      ,avoid.,avoid.,entr.  ,entr.  ,entr.  ,       ,       ,       ,       ,       ,       ,       ,val    ,val    ,val    ,       ,lo bin ,hi bin ,val    ,       ,lo bin ,hi bin ,val    ,       ,val    ,       ,       ,       ,       ,       ,       ,,,,,,,,,,,,,,,
,               ,       ,[s]    ,[m]    ,      ,[s]    ,[m]    ,[cm/s] ,[1/m]  ,       ,[s]    ,[m]    ,[cm/s] ,[cm/s] ,[0-1] ,[s]   ,[m]   ,[s]    ,[m]    ,[cm/s] ,[s]    ,       ,       ,       ,       ,[0-1]  ,[deg]  ,[deg]  ,[deg]  ,[0-1]  ,[deg]  ,[deg]  ,[deg]  ,[0-1]  ,[deg]  ,[deg]  ,[deg]  ,[0-1]  ,[cm]   ,[0-1]  ,[cm]   ,[cm]   ,[cm]   ,       ,       ,[]     ,,,,,,,,,,,,,,,
Control,             bl10D1Train1_Room,0,600,20.4,20,0.53,0,-1,0.98,56,0.53,0,3.4,2.7,0.5961,59,1.67,21.4,0.72,5.76,107.567,0.2671,0.2516,0.2188,0.2625,0.02,10.66,178.5,104.16,0.0173,70,260,100,0.0383,110,70,270,0.0265,18,0.2619,15,13.5,20.09,1.53,5.64,,,,,,,,,,,,,,,,
Control,             bl10D1Train2_Room,0,600,17.5,17,15,0.52,7.09,0.97,55,15,0.52,2.92,2.33,0.6288,88,2.6,45.93,1.28,4.99,107.065,0.2641,0.2444,0.2187,0.2728,0.04,307.19,175.61,105.83,0.0168,160,10,210,0.0377,280,160,350,0.0012,19.4,0.2735,13.2,13.96,16.89,1.15,6.13,,,,,,,,,,,,,,,,
Control,             bl10D1Train3_Room,0,600,15.85,21,24.33,0.48,1.96,1.32,66,24.33,0.48,2.64,2.13,0.6444,70,1.31,82.93,1.58,2.17,126.064,0.322,0.1618,0.2033,0.3129,0.21,314.87,157.42,107.7,0.0125,80,40,280,0.049,290,270,60,0.0018,19.4,0.2973,13.2,14.35,16.95,1.13,5.27,,,,,,,,,,,,,,,,
Control,             bl10D2Retest_Room,0,600,22.9,24,0.9,0,-1,1.05,60,0.9,0,3.82,3.13,0.6154,69,2.35,4.8,0.1,2.04,116.438,0.2886,0.1532,0.2438,0.3144,0.13,295.67,171.82,110.47,0.0141,90,30,260,0.0446,300,240,40,0.0019,19.4,0.3152,13.2,14.67,15.03,1.55,7.94,,bl10,WT,untrained,103.35,22.9,0,0,82,0.9,4.8,3.8,166.0%,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Train,                bl11D1Hab_Room,0,600,35.55,33,19.67,0.96,8.97,0.93,46,19.67,0.96,5.93,4.5,0.653,74,5.49,29.9,1.81,10.25,81.767,0.2134,0.2876,0.1906,0.3084,0.05,261.46,187.92,107.88,0.0137,180,0,210,0.0484,220,180,350,0.0261,3.5,0.3494,15,14.2,16.67,1.7,6.78,,,,,,,,,,,,,,,,
Train,             bl11D1Train1_Room,0,600,15.99,4,6.87,0.65,13.24,0.25,4,6.87,0.65,2.66,2.61,0.602,351,9.57,63.97,2.32,2,3.333,0.0088,0.3781,0.5622,0.0509,0.69,144.79,231.41,50.23,0.0002,20,170,120,0.0965,130,110,190,0.0003,3.5,0.3898,16.6,16.53,9.38,1.96,8.93,,,,,,,,,,,,,,,,
Train,             bl11D1Train2_Room,0,600,15.78,4,36.37,0.59,1.75,0.25,4,36.37,0.59,2.63,2.69,0.6374,203,5.13,72.97,1.63,1.54,3.301,0.0081,0.158,0.7058,0.1281,0.66,182.48,258.18,54.32,0.0001,0,210,170,0.0985,190,160,230,0.0023,19.4,0.4394,16.6,16.61,12.54,3.82,20.47,,,,,,,,,,,,,,,,
Train,             bl11D1Train3_Room,0,600,18.64,8,0.53,0,-1,0.43,8,0.53,0,3.11,3.05,0.6426,210,6.37,211.17,6.41,4.21,7.302,0.018,0.3552,0.529,0.0978,0.49,154.86,223.08,71.48,0.0005,0,210,130,0.0665,190,120,230,0.0004,3.5,0.5997,18,17.19,8.4,1.76,8.39,,,,,,,,,,,,,,,,
Train,             bl11D2Retest_Room,0.00261,600,18.78,6,23.7,0.88,7.41,0.32,10,23.7,0.88,3.13,3.1,0.5028,212,8.28,60.33,2.39,6.16,19.134,0.0484,0.1017,0.68,0.1699,0.67,196.87,266.55,57.98,0.0009,40,230,190,0.1013,200,170,240,0.0011,11.1,0.4856,16.6,17.06,5.47,0.99,5.88,,bl11,WT,trained,104.74,18.78,26,10,22,23.7,60.33,12,202.0%,,4.4,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,                bl12D1Hab_Room,0,600,23.79,22,39.2,1.01,3.38,0.92,60,39.2,1.01,3.97,2.99,0.5932,43,1.18,76.43,2.26,4.56,117.231,0.3017,0.2545,0.2183,0.2256,0.07,26.67,175.44,101.49,0.0144,290,140,350,0.0395,20,290,110,0.0003,19.4,0.2451,13.2,13.72,21.17,1.38,4.97,,,,,,,,,,,,,,,,
