"","count","gene","sample","ind","time","region","APA","strained"
"207",1968,"rpl19","1","a","AM","CA1","control","fmr1"
"208",1227,"rpl19","2","a wt","AM","CA1","trained","wt"
"209",1209,"rpl19","2","a wt","AM","CA1","trained","wt"
"210",1157,"rpl19","2","a wt","AM","CA1","trained","wt"
"211",493,"rpl19","3","aa","AM","CA1","homecage","fmr1"
"212",472,"rpl19","3","aa","AM","CA1","homecage","fmr1"
"213",458,"rpl19","3","aa","AM","CA1","homecage","fmr1"
"214",1157,"rpl19","4","ab","AM","CA1","control","wt"
"215",1122,"rpl19","4","ab","AM","CA1","control","wt"
"216",1107,"rpl19","4","ab","AM","CA1","control","wt"
"217",1611,"rpl19","5","b ","AM","CA1","trained","fmr1"
"218",1533,"rpl19","5","b ","AM","CA1","trained","fmr1"
"219",1380,"rpl19","5","b ","AM","CA1","trained","fmr1"
"220",2481,"rpl19","6","bb","AM","CA1","homecage","wt"
"221",2272,"rpl19","6","bb","AM","CA1","homecage","wt"
"222",2259,"rpl19","6","bb","AM","CA1","homecage","wt"
"223",21912,"rpl19","7","c","AM","CA1","trained","fmr1"
"224",19612,"rpl19","7","c","AM","CA1","trained","fmr1"
"226",5690,"rpl19","8","e","AM","CA1","control","fmr1"
"227",5404,"rpl19","8","e","AM","CA1","control","fmr1"
"228",5391,"rpl19","8","e","AM","CA1","control","fmr1"
"229",714,"rpl19","9","f","AM","CA1","trained","fmr1"
"230",696,"rpl19","9","f","AM","CA1","trained","fmr1"
"231",642,"rpl19","9","f","AM","CA1","trained","fmr1"
"232",182,"rpl19","10","g","AM","CA1","control","fmr1"
"233",180,"rpl19","10","g","AM","CA1","control","fmr1"
"234",162,"rpl19","10","g","AM","CA1","control","fmr1"
"235",2515,"rpl19","11","h","AM","CA1","trained","fmr1"
"236",2488,"rpl19","11","h","AM","CA1","trained","fmr1"
"237",2343,"rpl19","11","h","AM","CA1","trained","fmr1"
"238",1988,"rpl19","12","i","AM","CA1","control","fmr1"
"239",1944,"rpl19","12","i","AM","CA1","control","fmr1"
"240",1898,"rpl19","12","i","AM","CA1","control","fmr1"
"241",1252,"rpl19","13","j","AM","CA1","trained","fmr1"
"242",1214,"rpl19","13","j","AM","CA1","trained","fmr1"
"243",1196,"rpl19","13","j","AM","CA1","trained","fmr1"
"244",3018,"rpl19","14","k","AM","CA1","control","fmr1"
"245",3018,"rpl19","14","k","AM","CA1","control","fmr1"
"246",2677,"rpl19","14","k","AM","CA1","control","fmr1"
"247",14675,"rpl19","15","l","AM","CA1","homecage","fmr1"
"248",14359,"rpl19","15","l","AM","CA1","homecage","fmr1"
"249",14069,"rpl19","15","l","AM","CA1","homecage","fmr1"
"250",15731,"rpl19","16","m","AM","CA1","homecage","fmr1"
"251",14932,"rpl19","16","m","AM","CA1","homecage","fmr1"
"252",13880,"rpl19","16","m","AM","CA1","homecage","fmr1"
"253",3070,"rpl19","17","n","AM","CA1","homecage","fmr1"
"254",2740,"rpl19","17","n","AM","CA1","homecage","fmr1"
"255",2726,"rpl19","17","n","AM","CA1","homecage","fmr1"
"256",6,"rpl19","18","BL 9","AM","CA3","trained","wt"
"257",4,"rpl19","18","BL 9","AM","CA3","trained","wt"
"258",3,"rpl19","18","BL 9","AM","CA3","trained","wt"
"259",16,"rpl19","19","BL 8","AM","CA3","control","wt"
"260",12,"rpl19","19","BL 8","AM","CA3","control","wt"
"261",12,"rpl19","19","BL 8","AM","CA3","control","wt"
"262",17,"rpl19","20","BL 14","AM","CA3","control","wt"
"263",21,"rpl19","20","BL 14","AM","CA3","control","wt"
"264",15,"rpl19","20","BL 14","AM","CA3","control","wt"
"265",15,"rpl19","21","BL 4","AM","CA3","control","wt"
"266",13,"rpl19","21","BL 4","AM","CA3","control","wt"
"267",15,"rpl19","21","BL 4","AM","CA3","control","wt"
"268",15,"rpl19","22","BL 19","PM","CA3","trained","wt"
"269",8,"rpl19","22","BL 19","PM","CA3","trained","wt"
"270",10,"rpl19","22","BL 19","PM","CA3","trained","wt"
"271",7,"rpl19","23","BL 6","AM","CA3","control","wt"
"272",10,"rpl19","23","BL 6","AM","CA3","control","wt"
"273",13,"rpl19","23","BL 6","AM","CA3","control","wt"
"274",6,"rpl19","24","BL 18","AM","CA3","control","wt"
"275",7,"rpl19","24","BL 18","AM","CA3","control","wt"
"276",8,"rpl19","24","BL 18","AM","CA3","control","wt"
"277",17,"rpl19","25","BL 11","AM","CA3","trained","wt"
"278",17,"rpl19","25","BL 11","AM","CA3","trained","wt"
"279",16,"rpl19","25","BL 11","AM","CA3","trained","wt"
"280",3,"rpl19","26","BL 3","AM","CA3","trained","wt"
"281",4,"rpl19","26","BL 3","AM","CA3","trained","wt"
"282",10,"rpl19","26","BL 3","AM","CA3","trained","wt"
"283",6,"rpl19","27","BL 5","AM","CA3","trained","wt"
"284",3,"rpl19","27","BL 5","AM","CA3","trained","wt"
"285",9,"rpl19","27","BL 5","AM","CA3","trained","wt"
"286",2,"rpl19","28","BL 13","PM","CA3","trained","wt"
"287",5,"rpl19","28","BL 13","PM","CA3","trained","wt"
"288",1,"rpl19","28","BL 13","PM","CA3","trained","wt"
"289",8,"rpl19","29","BL 10","PM","CA3","control","wt"
"290",4,"rpl19","29","BL 10","PM","CA3","control","wt"
"291",12,"rpl19","29","BL 10","PM","CA3","control","wt"
"292",4,"rpl19","30","BL 12","AM","CA3","control","wt"
"293",5,"rpl19","30","BL 12","AM","CA3","control","wt"
"294",4,"rpl19","30","BL 12","AM","CA3","control","wt"
"295",39,"rpl19","31","BL 15","PM","CA3","trained","wt"
"296",38,"rpl19","31","BL 15","PM","CA3","trained","wt"
"297",31,"rpl19","31","BL 15","PM","CA3","trained","wt"
"298",20,"rpl19","32","BL 7","AM","CA3","trained","wt"
"299",32,"rpl19","32","BL 7","AM","CA3","trained","wt"
"300",25,"rpl19","32","BL 7","AM","CA3","trained","wt"
"301",14,"rpl19","33","BL 1","AM","CA3","trained","wt"
"302",15,"rpl19","33","BL 1","AM","CA3","trained","wt"
"303",14,"rpl19","33","BL 1","AM","CA3","trained","wt"
"304",16,"rpl19","34","BL 2","AM","CA3","trained","wt"
"305",18,"rpl19","34","BL 2","AM","CA3","trained","wt"
"306",10,"rpl19","34","BL 2","AM","CA3","trained","wt"
"307",83,"rRNA18S","1","a","AM","CA1","control","fmr1"
"308",77,"rRNA18S","1","a","AM","CA1","control","fmr1"
"309",68,"rRNA18S","1","a","AM","CA1","control","fmr1"
"310",140,"rRNA18S","2","a wt","AM","CA1","trained","wt"
"311",119,"rRNA18S","2","a wt","AM","CA1","trained","wt"
"312",106,"rRNA18S","2","a wt","AM","CA1","trained","wt"
"313",19,"rRNA18S","3","aa","AM","CA1","homecage","fmr1"
"314",19,"rRNA18S","3","aa","AM","CA1","homecage","fmr1"
"315",16,"rRNA18S","3","aa","AM","CA1","homecage","fmr1"
"316",55,"rRNA18S","4","ab","AM","CA1","control","wt"
"317",54,"rRNA18S","4","ab","AM","CA1","control","wt"
"318",53,"rRNA18S","4","ab","AM","CA1","control","wt"
"319",120,"rRNA18S","5","b ","AM","CA1","trained","fmr1"
"320",107,"rRNA18S","5","b ","AM","CA1","trained","fmr1"
"321",77,"rRNA18S","5","b ","AM","CA1","trained","fmr1"
"322",60,"rRNA18S","6","bb","AM","CA1","homecage","wt"
"323",53,"rRNA18S","6","bb","AM","CA1","homecage","wt"
"324",47,"rRNA18S","6","bb","AM","CA1","homecage","wt"
"325",382,"rRNA18S","7","c","AM","CA1","trained","fmr1"
"326",302,"rRNA18S","7","c","AM","CA1","trained","fmr1"
"327",258,"rRNA18S","7","c","AM","CA1","trained","fmr1"
"328",134,"rRNA18S","8","e","AM","CA1","control","fmr1"
"329",118,"rRNA18S","8","e","AM","CA1","control","fmr1"
"330",116,"rRNA18S","8","e","AM","CA1","control","fmr1"
"331",120,"rRNA18S","9","f","AM","CA1","trained","fmr1"
"332",111,"rRNA18S","9","f","AM","CA1","trained","fmr1"
"333",92,"rRNA18S","9","f","AM","CA1","trained","fmr1"
"334",18,"rRNA18S","10","g","AM","CA1","control","fmr1"
"335",12,"rRNA18S","10","g","AM","CA1","control","fmr1"
"336",9,"rRNA18S","10","g","AM","CA1","control","fmr1"
"337",74,"rRNA18S","11","h","AM","CA1","trained","fmr1"
"338",68,"rRNA18S","11","h","AM","CA1","trained","fmr1"
"339",61,"rRNA18S","11","h","AM","CA1","trained","fmr1"
"340",564,"rRNA18S","12","i","AM","CA1","control","fmr1"
"341",518,"rRNA18S","12","i","AM","CA1","control","fmr1"
"342",467,"rRNA18S","12","i","AM","CA1","control","fmr1"
"343",42,"rRNA18S","13","j","AM","CA1","trained","fmr1"
"344",36,"rRNA18S","13","j","AM","CA1","trained","fmr1"
"345",35,"rRNA18S","13","j","AM","CA1","trained","fmr1"
"346",168,"rRNA18S","14","k","AM","CA1","control","fmr1"
"347",137,"rRNA18S","14","k","AM","CA1","control","fmr1"
"348",110,"rRNA18S","14","k","AM","CA1","control","fmr1"
"349",242,"rRNA18S","15","l","AM","CA1","homecage","fmr1"
"350",240,"rRNA18S","15","l","AM","CA1","homecage","fmr1"
"351",235,"rRNA18S","15","l","AM","CA1","homecage","fmr1"
"352",257,"rRNA18S","16","m","AM","CA1","homecage","fmr1"
"353",225,"rRNA18S","16","m","AM","CA1","homecage","fmr1"
"354",220,"rRNA18S","16","m","AM","CA1","homecage","fmr1"
"355",152,"rRNA18S","17","n","AM","CA1","homecage","fmr1"
"356",150,"rRNA18S","17","n","AM","CA1","homecage","fmr1"
"357",145,"rRNA18S","17","n","AM","CA1","homecage","fmr1"
"358",419,"rRNA18S","18","BL 9","AM","CA3","trained","wt"
"359",406,"rRNA18S","18","BL 9","AM","CA3","trained","wt"
"360",430,"rRNA18S","18","BL 9","AM","CA3","trained","wt"
"361",968,"rRNA18S","19","BL 8","AM","CA3","control","wt"
"362",947,"rRNA18S","19","BL 8","AM","CA3","control","wt"
"363",1106,"rRNA18S","19","BL 8","AM","CA3","control","wt"
"364",2106,"rRNA18S","20","BL 14","AM","CA3","control","wt"
"365",2591,"rRNA18S","20","BL 14","AM","CA3","control","wt"
"366",2070,"rRNA18S","20","BL 14","AM","CA3","control","wt"
"367",3161,"rRNA18S","21","BL 4","AM","CA3","control","wt"
"368",3043,"rRNA18S","21","BL 4","AM","CA3","control","wt"
"369",3260,"rRNA18S","21","BL 4","AM","CA3","control","wt"
"370",1353,"rRNA18S","22","BL 19","PM","CA3","trained","wt"
"371",1169,"rRNA18S","22","BL 19","PM","CA3","trained","wt"
"372",1236,"rRNA18S","22","BL 19","PM","CA3","trained","wt"
"373",1134,"rRNA18S","23","BL 6","AM","CA3","control","wt"
"374",1204,"rRNA18S","23","BL 6","AM","CA3","control","wt"
"375",1236,"rRNA18S","23","BL 6","AM","CA3","control","wt"
"376",1429,"rRNA18S","24","BL 18","AM","CA3","control","wt"
"377",1380,"rRNA18S","24","BL 18","AM","CA3","control","wt"
"378",1332,"rRNA18S","24","BL 18","AM","CA3","control","wt"
"379",1581,"rRNA18S","25","BL 11","AM","CA3","trained","wt"
"380",1558,"rRNA18S","25","BL 11","AM","CA3","trained","wt"
"381",1339,"rRNA18S","25","BL 11","AM","CA3","trained","wt"
"382",661,"rRNA18S","26","BL 3","AM","CA3","trained","wt"
