sample,ind,time,region,APA,strained,pkmz,grim,rpl19,rRNA18S,fmr1,dlg4,fos,gria,grin,nsf,cam2kd,creb
1,a,AM,CA1,control,fmr1,34.39366913,34.91590118,25.28633499,30.21906662,35.09623718,32.51110458,35.08757019,31.94013214,33.88496399,32.09951401,29.61249924,34.20938492
1,a,AM,CA1,control,fmr1,35.51675034,35.00599289,25.3582325,30.33407211,35.39742661,32.34680939,34.5704422,31.64168739,33.67522049,32.13386917,29.73908424,34.47176743
1,a,AM,CA1,control,fmr1,34.76863861,NA,25.37283707,30.53484344,34.86592484,33.44107819,34.77575684,31.64043808,33.28103256,32.15503311,29.5500927,33.95316696
2,a wt,AM,CA1,trained,wt,35.10873413,35.14461517,26.09681129,29.42071915,35.02565002,31.77958298,35.88254929,32.11901474,33.62887192,33.29101944,NA,35.92036438
2,a wt,AM,CA1,trained,wt,35.32863998,33.78046799,26.11940002,29.67365265,34.90434265,32.70649338,34.95052719,32.14128876,34.00171661,33.24319839,30.81853294,35.79910278
2,a wt,AM,CA1,trained,wt,35.02077484,33.91615677,26.18650627,29.85342789,35.39118958,33.00142288,36.09975815,32.29737473,33.85724258,33.19265366,30.8448391,34.92241287
3,aa,AM,CA1,homecage,fmr1,-1,36.1022644,27.49328804,32.46775055,35.4286499,35.30776596,-1,36.07510376,-1,35.86608124,34.67392349,35.81853485
3,aa,AM,CA1,homecage,fmr1,-1,-1,27.56290627,32.47829437,-1,35.84073639,-1,NA,-1,36.76908493,33.76221848,-1
3,aa,AM,CA1,homecage,fmr1,-1,36.41785431,27.6060791,32.71356201,-1,36.12240601,-1,36.08692169,-1,35.42730331,32.73777008,36.52630997
4,ab,AM,CA1,control,wt,35.60031509,35.05534744,26.18714905,30.86865807,36.05906677,33.58101654,35.46473312,32.72268295,35.17217255,33.00120163,31.41390419,35.60655594
4,ab,AM,CA1,control,wt,36.07208633,34.98841095,26.2336483,30.88044548,36.86907959,33.83576202,36.75440598,33.00395203,34.73257828,33.44794083,31.76366425,34.97402191
4,ab,AM,CA1,control,wt,36.79415894,34.69942856,26.25535583,30.91288948,35.5079155,34.92933655,35.22304535,32.60487366,34.92827988,33.66003036,31.37135696,35.36597443
5,b ,AM,CA1,trained,fmr1,35.19299698,33.26704025,25.67910385,29.66630936,34.66852951,31.74290848,32.69345474,31.21673965,32.61043549,32.1282959,29.048563,34.58904266
5,b ,AM,CA1,trained,fmr1,34.45801544,32.93992996,25.75613594,29.83936691,-1,31.76086807,33.29618454,31.16774368,32.87746048,31.8684063,29.15455055,34.32603073
