"ind","genotype","session","filename","APA","genoAPA","genoAPAsession","genoAPAsessionInd","p.miss","TotalTime","TotalPath","Entrances","TimeToFirstEntrance","PathToFirstEntrance","SpeedToFirstEntrance","EntrancePerDistance","TotalShocks","TimeToFirstShock","PathToFirstShock","Speed","SDofSpeed","LineArity","MaxAvoidTime","MaxAvoidPath","TimeToSecondEntrance","PathToSecondEntrance","SpeedToSecondEntranc","TimeTARG","pTimeTARG","pTimeCCW","pTimeOPP","pTimeCW","RayleigLength","RayleigAngle","PolarAveVal","PolarSdVal","PolarMinVal","PolarMinBin","MinLoBin","MinHiBin","PolarMaxVal","PolarMaxBin","MaxLoBin","MaxHiBin","AnnularMinVal","AnnularMinBin","AnnularMaxVal","AnnularMaxBin","AnnularAvg","AnnularSD","AnnularSkewnes","AnnularKurtosis"
"BL 4","WT","pretraining","                 bl4D1Hab_Room_Control","control","WT_control","WT_control_pretraining","WT_control_pretraining_BL 4",0,600,27.58,24,1.23,0.06,5.11,0.87,47,1.23,0.06,4.6,3.45,0.6131,61,3.9,7.07,0.36,7.85,85.529,0.214,0.2837,0.2865,0.2158,0.1,168.9,190.02,101.43,0.0175,40,220,90,0.0446,210,150,340,3e-04,19.4,0.2751,13.2,13.57,19.95,1.35,5.49
"BL 4","WT","training1","              bl4D1Train1_Room_Control","control","WT_control","WT_control_training1","WT_control_training1_BL 4",0,600,23.19,26,15.47,0.61,3.96,1.12,54,15.47,0.61,3.87,2.93,0.6658,44,1.87,45.83,1.89,7.48,96.738,0.2496,0.1177,0.3389,0.2937,0.18,242.41,186.7,111.72,0.0092,80,320,190,0.0461,320,180,340,0.0022,19.4,0.262,15,13.9,22.01,1.38,4.96
"BL 4","WT","training2","              bl4D1Train2_Room_Control","control","WT_control","WT_control_training2","WT_control_training2_BL 4",0,600,18.25,18,0.53,0,-1,0.99,45,0.53,0,3.04,2.38,0.6207,86,2.68,75.73,2.4,7.99,87.595,0.2133,0.1116,0.3089,0.3663,0.26,249.63,190.79,117.33,0.009,80,290,180,0.0497,260,190,340,0.0919,8.5,0.2033,13.2,12.75,25.85,0.92,3.36
"BL 4","WT","training3","              bl4D1Train3_Room_Control","control","WT_control","WT_control_training3","WT_control_training3_BL 4",0,600,16.31,17,0.53,0,-1,1.04,41,0.53,0,2.72,2.1,0.6212,143,3.2,17.77,0.56,2.13,77.269,0.179,0.1661,0.4046,0.2502,0.25,207.21,199.75,105.75,0.0075,70,220,100,0.0629,180,140,280,0.0318,18,0.2248,16.6,12.81,23.75,1.02,3.57
"BL 4","WT","retention","              bl4D2Retest_Room_Control","control","WT_control","WT_control_retention","WT_control_retention_BL 4",0,600,24,24,4.73,0.32,11.86,1,61,4.73,0.32,4,3.11,0.6156,84,4.3,18.53,1.24,4.68,110.564,0.2667,0.2303,0.1691,0.334,0.15,313.94,167.14,110.06,0.0124,180,0,240,0.0421,280,220,10,0.0028,19.4,0.2032,11.1,13.38,21.86,0.89,3.58
"BL 5","WT","pretraining","                 bl5D1Hab_Room_Train","trained","WT_trained","WT_trained_pretraining","WT_trained_pretraining_BL 5",0,600,32.88,31,21.83,2.05,20.71,0.94,61,21.83,2.05,5.48,4.45,0.5806,67,5.41,30.3,2.72,0,115.501,0.288,0.1751,0.2439,0.2931,0.2,284.63,178.05,114.26,0.0101,120,330,210,0.0497,320,210,0,0.0036,19.4,0.3196,15,14.11,19.02,1.55,5.95
"BL 5","WT","training1","              bl5D1Train1_Room_Train","trained","WT_trained","WT_trained_training1","WT_trained_training1_BL 5",0,600,17.89,7,8.47,0.4,18.75,0.39,7,8.47,0.4,2.98,2.79,0.566,252,8.09,31.2,1,2.31,5.732,0.0142,0.3225,0.5993,0.064,0.64,150.7,234.42,54.3,1e-04,350,190,130,0.0915,160,120,210,0.0046,19.4,0.4077,16.6,15.57,11.92,2.05,11.33
"BL 5","WT","training2","              bl5D1Train2_Room_Train","trained","WT_trained","WT_trained_training2","WT_trained_training2_BL 5",0.00533,600,16.37,4,5.17,0.09,1.91,0.24,8,5.17,0.09,2.73,2.66,0.6157,280,7.09,39.87,0.98,1.61,12.9,0.0316,0.1093,0.3711,0.488,0.53,226.5,226.35,101.76,7e-04,20,270,200,0.09,250,180,280,0.0024,3.5,0.2807,16.6,16.36,18.86,3.22,18.05
"BL 5","WT","training3","              bl5D1Train3_Room_Train","trained","WT_trained","WT_trained_training3","WT_trained_training3_BL 5",0,600,13.92,3,119.4,2.47,1.78,0.22,3,119.4,2.47,2.32,2,0.5467,265,2.95,202.23,4.51,2.31,2.332,0.0059,0.8136,0.1613,0.0192,0.81,105.44,195.56,38.5,0,10,120,80,0.1042,100,70,140,6e-04,8.5,0.4362,16.6,17.19,11.82,5.52,44.96
"BL 5","WT","retention","              bl5D2Retest_Room_Train","trained","WT_trained","WT_trained_retention","WT_trained_retention_BL 5",0,600,16.3,3,58.57,1.79,14.97,0.18,3,58.57,1.79,2.72,2.53,0.5744,272,7.81,331.2,9.32,3.14,2.733,0.0068,0.1973,0.7271,0.0687,0.72,163.5,247.86,47.75,2e-04,0,200,150,0.0946,160,120,200,3e-04,8.5,0.4881,16.6,17.02,6.23,1.22,8.45
