sample	ind	Time	Region	APA	strain	pkmz	grim	rpl19
1	BL11	AM	CA1	train	WT	36.0647049	34.02370834	28.77085495
1	BL11	AM	CA1	train	WT	35.28365707	-1	28.94545364
1	BL11	AM	CA1	train	WT	35.23236847	35.43574142	28.92487335
2	BL7	AM	CA1	train	WT	34.13155746	33.64958954	28.108881
2	BL7	AM	CA1	train	WT	35.27114105	33.43871307	28.12989044
2	BL7	AM	CA1	train	WT	34.44876099	33.27784729	28.46445847
3	BL2	AM	CA1	train	WT	34.56593323	-1	30.79911995
3	BL2	AM	CA1	train	WT	34.89548111	-1	31.23608971
3	BL2	AM	CA1	train	WT	34.53607559	-1	30.48181534
4	BL16	AM	CA1	control	WT	33.78559875	34.77597427	28.48207474
4	BL16	AM	CA1	control	WT	33.54773712	33.91501236	28.46533203
4	BL16	AM	CA1	control	WT	33.69449615	35.29069138	28.18232918
5	BL19	PM	CA1	train	WT	-1	35.82953644	28.79901886
5	BL19	PM	CA1	train	WT	-1	37.91650391	29.71682549
5	BL19	PM	CA1	train	WT	36.38460541	36.31776428	29.68202209
6	BL3	AM	CA1	train	WT	36.56921768	-1	29.8723259
6	BL3	AM	CA1	train	WT	37.77781296	35.97529602	29.98677635
6	BL3	AM	CA1	train	WT	35.84762573	-1	30.00517654
7	BL13	PM	CA1	train	WT	35.09890747	34.20962524	28.98794365
7	BL13	PM	CA1	train	WT	35.75272369	33.55444717	28.61257172
7	BL13	PM	CA1	train	WT	34.62456131	35.2699852	28.96902847
8	BL4	AM	CA1	control	WT	36.27683258	-1	29.45595741
8	BL4	AM	CA1	control	WT	37.97496414	35.61506271	29.31846809
8	BL4	AM	CA1	control	WT	38.06683731	36.7565918	NA
9	BL12	AM	CA1	control	WT	35.83820724	36.86261368	NA
9	BL12	AM	CA1	control	WT	37.9685936	35.50193024	30.32250404
9	BL12	AM	CA1	control	WT	35.54870987	36.27035522	30.30216408
10	BL10	PM	CA1	control	WT	37.72859573	37.7696991	31.32437515
10	BL10	PM	CA1	control	WT	-1	-1	30.99177551
10	BL10	PM	CA1	control	WT	36.21240997	-1	31.2183609
11	BL8	AM	CA1	control	WT	NA	36.93864441	34.59643173
11	BL8	AM	CA1	control	WT	NA	-1	33.1267128
11	BL8	AM	CA1	control	WT	NA	35.69929504	32.97315216
12	BL1	AM	CA1	train	WT	-1	36.69838715	30.23171234
12	BL1	AM	CA1	train	WT	-1	35.47835541	29.86355972
12	BL1	AM	CA1	train	WT	-1	36.25488663	29.86397552
13	BL15	PM	CA1	train	WT	33.0075798	31.37648392	25.9298954
