count,gene,sample,ind,time,region,APA,strain,year
11,dlg4,11,h,AM,CA1,Trained,fmr1,2014
5,dlg4,11,h,AM,CA1,Trained,fmr1,2014
6,dlg4,13,j,AM,CA1,Trained,fmr1,2014
6,dlg4,13,j,AM,CA1,Trained,fmr1,2014
4,dlg4,18,BL 9,AM,CA3,Trained,B6,2013
6,dlg4,18,BL 9,AM,CA3,Trained,B6,2013
2,dlg4,18,BL 9,AM,CA3,Trained,B6,2013
6,dlg4,22,BL 19,PM,CA3,Trained,B6,2013
5,dlg4,22,BL 19,PM,CA3,Trained,B6,2013
7,dlg4,22,BL 19,PM,CA3,Trained,B6,2013
8,dlg4,25,BL 11,AM,CA3,Trained,B6,2013
4,dlg4,25,BL 11,AM,CA3,Trained,B6,2013
4,dlg4,25,BL 11,AM,CA3,Trained,B6,2013
9,dlg4,26,BL 3,AM,CA3,Trained,B6,2013
7,dlg4,26,BL 3,AM,CA3,Trained,B6,2013
8,dlg4,26,BL 3,AM,CA3,Trained,B6,2013
19,dlg4,27,BL 5,AM,CA3,Trained,B6,2013
5,dlg4,27,BL 5,AM,CA3,Trained,B6,2013
7,dlg4,27,BL 5,AM,CA3,Trained,B6,2013
3,dlg4,28,BL 13,PM,CA3,Trained,B6,2013
5,dlg4,28,BL 13,PM,CA3,Trained,B6,2013
4,dlg4,28,BL 13,PM,CA3,Trained,B6,2013
73,dlg4,31,BL 15,PM,CA3,Trained,B6,2013
54,dlg4,31,BL 15,PM,CA3,Trained,B6,2013
71,dlg4,31,BL 15,PM,CA3,Trained,B6,2013
27,dlg4,32,BL 7,AM,CA3,Trained,B6,2013
37,dlg4,32,BL 7,AM,CA3,Trained,B6,2013
38,dlg4,32,BL 7,AM,CA3,Trained,B6,2013
5,dlg4,33,BL 1,AM,CA3,Trained,B6,2013
4,dlg4,33,BL 1,AM,CA3,Trained,B6,2013
1,dlg4,33,BL 1,AM,CA3,Trained,B6,2013
5,dlg4,34,BL 2,AM,CA3,Trained,B6,2013
2,dlg4,34,BL 2,AM,CA3,Trained,B6,2013
3,dlg4,34,BL 2,AM,CA3,Trained,B6,2013
27,gria,2,a wt,AM,CA1,Trained,B6,2014
27,gria,2,a wt,AM,CA1,Trained,B6,2014
24,gria,2,a wt,AM,CA1,Trained,B6,2014
50,gria,5,b ,AM,CA1,Trained,fmr1,2014
52,gria,5,b ,AM,CA1,Trained,fmr1,2014
45,gria,5,b ,AM,CA1,Trained,fmr1,2014
332,gria,7,c,AM,CA1,Trained,fmr1,2014
316,gria,7,c,AM,CA1,Trained,fmr1,2014
234,gria,7,c,AM,CA1,Trained,fmr1,2014
30,gria,9,f,AM,CA1,Trained,fmr1,2014
27,gria,9,f,AM,CA1,Trained,fmr1,2014
34,gria,9,f,AM,CA1,Trained,fmr1,2014
22,gria,11,h,AM,CA1,Trained,fmr1,2014
12,gria,11,h,AM,CA1,Trained,fmr1,2014
17,gria,11,h,AM,CA1,Trained,fmr1,2014
4,gria,13,j,AM,CA1,Trained,fmr1,2014
4,gria,13,j,AM,CA1,Trained,fmr1,2014
0,gria,18,BL 9,AM,CA3,Trained,B6,2013
0,gria,18,BL 9,AM,CA3,Trained,B6,2013
4,gria,18,BL 9,AM,CA3,Trained,B6,2013
11,gria,22,BL 19,PM,CA3,Trained,B6,2013
8,gria,22,BL 19,PM,CA3,Trained,B6,2013
13,gria,22,BL 19,PM,CA3,Trained,B6,2013
13,gria,25,BL 11,AM,CA3,Trained,B6,2013
17,gria,25,BL 11,AM,CA3,Trained,B6,2013
11,gria,25,BL 11,AM,CA3,Trained,B6,2013
5,gria,26,BL 3,AM,CA3,Trained,B6,2013
3,gria,26,BL 3,AM,CA3,Trained,B6,2013
6,gria,26,BL 3,AM,CA3,Trained,B6,2013
2,gria,27,BL 5,AM,CA3,Trained,B6,2013
4,gria,27,BL 5,AM,CA3,Trained,B6,2013
5,gria,27,BL 5,AM,CA3,Trained,B6,2013
9,gria,28,BL 13,PM,CA3,Trained,B6,2013
11,gria,28,BL 13,PM,CA3,Trained,B6,2013
16,gria,28,BL 13,PM,CA3,Trained,B6,2013
37,gria,31,BL 15,PM,CA3,Trained,B6,2013
37,gria,31,BL 15,PM,CA3,Trained,B6,2013
26,gria,32,BL 7,AM,CA3,Trained,B6,2013
31,gria,32,BL 7,AM,CA3,Trained,B6,2013
35,gria,32,BL 7,AM,CA3,Trained,B6,2013
20,gria,33,BL 1,AM,CA3,Trained,B6,2013
20,gria,33,BL 1,AM,CA3,Trained,B6,2013
16,gria,33,BL 1,AM,CA3,Trained,B6,2013
25,gria,34,BL 2,AM,CA3,Trained,B6,2013
20,gria,34,BL 2,AM,CA3,Trained,B6,2013
23,gria,34,BL 2,AM,CA3,Trained,B6,2013
9,grin,2,a wt,AM,CA1,Trained,B6,2014
7,grin,2,a wt,AM,CA1,Trained,B6,2014
8,grin,2,a wt,AM,CA1,Trained,B6,2014
17,grin,5,b ,AM,CA1,Trained,fmr1,2014
14,grin,5,b ,AM,CA1,Trained,fmr1,2014
14,grin,5,b ,AM,CA1,Trained,fmr1,2014
62,grin,7,c,AM,CA1,Trained,fmr1,2014
56,grin,7,c,AM,CA1,Trained,fmr1,2014
71,grin,7,c,AM,CA1,Trained,fmr1,2014
16,grin,9,f,AM,CA1,Trained,fmr1,2014
14,grin,9,f,AM,CA1,Trained,fmr1,2014
4,grin,11,h,AM,CA1,Trained,fmr1,2014
6,grin,11,h,AM,CA1,Trained,fmr1,2014
6,grin,11,h,AM,CA1,Trained,fmr1,2014
3,grin,13,j,AM,CA1,Trained,fmr1,2014
1,grin,13,j,AM,CA1,Trained,fmr1,2014
0,grin,13,j,AM,CA1,Trained,fmr1,2014
1,grin,18,BL 9,AM,CA3,Trained,B6,
0,grin,18,BL 9,AM,CA3,Trained,B6,2013
1,grin,18,BL 9,AM,CA3,Trained,B6,2013
4,grin,22,BL 19,PM,CA3,Trained,B6,2013
7,grin,22,BL 19,PM,CA3,Trained,B6,2013
4,grin,22,BL 19,PM,CA3,Trained,B6,2013
4,grin,25,BL 11,AM,CA3,Trained,B6,2013
4,grin,25,BL 11,AM,CA3,Trained,B6,2013
4,grin,25,BL 11,AM,CA3,Trained,B6,2013
1,grin,26,BL 3,AM,CA3,Trained,B6,2013
1,grin,26,BL 3,AM,CA3,Trained,B6,2013
1,grin,26,BL 3,AM,CA3,Trained,B6,2013
2,grin,27,BL 5,AM,CA3,Trained,B6,2013
1,grin,27,BL 5,AM,CA3,Trained,B6,2013
1,grin,27,BL 5,AM,CA3,Trained,B6,2013
2,grin,28,BL 13,PM,CA3,Trained,B6,2013
2,grin,28,BL 13,PM,CA3,Trained,B6,2013
1,grin,28,BL 13,PM,CA3,Trained,B6,2013
9,grin,31,BL 15,PM,CA3,Trained,B6,2013
9,grin,31,BL 15,PM,CA3,Trained,B6,2013
11,grin,32,BL 7,AM,CA3,Trained,B6,2013
8,grin,32,BL 7,AM,CA3,Trained,B6,2013
6,grin,32,BL 7,AM,CA3,Trained,B6,2013
5,grin,33,BL 1,AM,CA3,Trained,B6,2013
5,grin,33,BL 1,AM,CA3,Trained,B6,2013
4,grin,33,BL 1,AM,CA3,Trained,B6,2013
5,grin,34,BL 2,AM,CA3,Trained,B6,2013
7,grin,34,BL 2,AM,CA3,Trained,B6,2013
7,grin,34,BL 2,AM,CA3,Trained,B6,2013
11,nsf,2,a wt,AM,CA1,Trained,B6,2014
12,nsf,2,a wt,AM,CA1,Trained,B6,2014
12,nsf,2,a wt,AM,CA1,Trained,B6,2014
24,nsf,5,b ,AM,CA1,Trained,fmr1,2014
28,nsf,5,b ,AM,CA1,Trained,fmr1,2014
22,nsf,5,b ,AM,CA1,Trained,fmr1,2014
93,nsf,7,c,AM,CA1,Trained,fmr1,2014
125,nsf,7,c,AM,CA1,Trained,fmr1,2014
136,nsf,7,c,AM,CA1,Trained,fmr1,2014
15,nsf,9,f,AM,CA1,Trained,fmr1,2014
18,nsf,9,f,AM,CA1,Trained,fmr1,2014
19,nsf,9,f,AM,CA1,Trained,fmr1,2014
190,nsf,11,h,AM,CA1,Trained,fmr1,2014
203,nsf,11,h,AM,CA1,Trained,fmr1,2014
275,nsf,11,h,AM,CA1,Trained,fmr1,2014
3,nsf,13,j,AM,CA1,Trained,fmr1,2014
2,nsf,13,j,AM,CA1,Trained,fmr1,2014
3,nsf,13,j,AM,CA1,Trained,fmr1,2014
4,nsf,18,BL 9,AM,CA3,Trained,B6,2013
3,nsf,18,BL 9,AM,CA3,Trained,B6,2013
1,nsf,18,BL 9,AM,CA3,Trained,B6,2013
20,nsf,22,BL 19,PM,CA3,Trained,B6,2013
20,nsf,22,BL 19,PM,CA3,Trained,B6,2013
20,nsf,22,BL 19,PM,CA3,Trained,B6,2013
20,nsf,25,BL 11,AM,CA3,Trained,B6,2013
16,nsf,25,BL 11,AM,CA3,Trained,B6,2013
18,nsf,25,BL 11,AM,CA3,Trained,B6,2013
1,nsf,26,BL 3,AM,CA3,Trained,B6,2013
1,nsf,26,BL 3,AM,CA3,Trained,B6,2013
2,nsf,27,BL 5,AM,CA3,Trained,B6,2013
12,nsf,27,BL 5,AM,CA3,Trained,B6,2013
5,nsf,27,BL 5,AM,CA3,Trained,B6,2013
4,nsf,28,BL 13,PM,CA3,Trained,B6,2013
1,nsf,28,BL 13,PM,CA3,Trained,B6,2013
9,nsf,28,BL 13,PM,CA3,Trained,B6,2013
36,nsf,31,BL 15,PM,CA3,Trained,B6,2013
37,nsf,31,BL 15,PM,CA3,Trained,B6,2013
36,nsf,31,BL 15,PM,CA3,Trained,B6,2013
32,nsf,32,BL 7,AM,CA3,Trained,B6,2013
28,nsf,32,BL 7,AM,CA3,Trained,B6,2013
38,nsf,32,BL 7,AM,CA3,Trained,B6,2013
3,nsf,33,BL 1,AM,CA3,Trained,B6,2013
6,nsf,33,BL 1,AM,CA3,Trained,B6,2013
8,nsf,33,BL 1,AM,CA3,Trained,B6,2013
12,nsf,34,BL 2,AM,CA3,Trained,B6,2013
13,nsf,34,BL 2,AM,CA3,Trained,B6,2013
12,nsf,34,BL 2,AM,CA3,Trained,B6,2013
60,cam2kd,2,a wt,AM,CA1,Trained,B6,2014
59,cam2kd,2,a wt,AM,CA1,Trained,B6,2014
194,cam2kd,5,b ,AM,CA1,Trained,fmr1,2014
181,cam2kd,5,b ,AM,CA1,Trained,fmr1,2014
174,cam2kd,5,b ,AM,CA1,Trained,fmr1,2014
662,cam2kd,7,c,AM,CA1,Trained,fmr1,2014
650,cam2kd,7,c,AM,CA1,Trained,fmr1,2014
637,cam2kd,7,c,AM,CA1,Trained,fmr1,2014
85,cam2kd,9,f,AM,CA1,Trained,fmr1,2014
105,cam2kd,9,f,AM,CA1,Trained,fmr1,2014
41,cam2kd,9,f,AM,CA1,Trained,fmr1,2014
1062,cam2kd,11,h,AM,CA1,Trained,fmr1,2014
1114,cam2kd,11,h,AM,CA1,Trained,fmr1,2014
1109,cam2kd,11,h,AM,CA1,Trained,fmr1,2014
18,cam2kd,13,j,AM,CA1,Trained,fmr1,2014
24,cam2kd,13,j,AM,CA1,Trained,fmr1,2014
29,cam2kd,13,j,AM,CA1,Trained,fmr1,2014
2,cam2kd,18,BL 9,AM,CA3,Trained,B6,2013
3,cam2kd,18,BL 9,AM,CA3,Trained,B6,2013
4,cam2kd,18,BL 9,AM,CA3,Trained,B6,2013
8,cam2kd,22,BL 19,PM,CA3,Trained,B6,2013
13,cam2kd,22,BL 19,PM,CA3,Trained,B6,2013
6,cam2kd,22,BL 19,PM,CA3,Trained,B6,2013
12,cam2kd,25,BL 11,AM,CA3,Trained,B6,2013
8,cam2kd,25,BL 11,AM,CA3,Trained,B6,2013
11,cam2kd,25,BL 11,AM,CA3,Trained,B6,2013
4,cam2kd,26,BL 3,AM,CA3,Trained,B6,2013
4,cam2kd,26,BL 3,AM,CA3,Trained,B6,2013
4,cam2kd,27,BL 5,AM,CA3,Trained,B6,2013
2,cam2kd,27,BL 5,AM,CA3,Trained,B6,2013
6,cam2kd,27,BL 5,AM,CA3,Trained,B6,2013
3,cam2kd,28,BL 13,PM,CA3,Trained,B6,2013
4,cam2kd,28,BL 13,PM,CA3,Trained,B6,2013
0,cam2kd,28,BL 13,PM,CA3,Trained,B6,2013
31,cam2kd,31,BL 15,PM,CA3,Trained,B6,2013
29,cam2kd,31,BL 15,PM,CA3,Trained,B6,2013
22,cam2kd,31,BL 15,PM,CA3,Trained,B6,2013
43,cam2kd,32,BL 7,AM,CA3,Trained,B6,2013
33,cam2kd,32,BL 7,AM,CA3,Trained,B6,2013
38,cam2kd,32,BL 7,AM,CA3,Trained,B6,2013
5,pkmz,1,a,AM,CA1,Control,fmr1,2014
3,pkmz,1,a,AM,CA1,Control,fmr1,2014
4,pkmz,1,a,AM,CA1,Control,fmr1,2014
2,pkmz,4,ab,AM,CA1,Control,B6,2014
2,pkmz,4,ab,AM,CA1,Control,B6,2014
1,pkmz,4,ab,AM,CA1,Control,B6,2014
6,pkmz,8,e,AM,CA1,Control,fmr1,2014
8,pkmz,8,e,AM,CA1,Control,fmr1,2014
14,pkmz,8,e,AM,CA1,Control,fmr1,2014
0,pkmz,10,g,AM,CA1,Control,fmr1,2014
0,pkmz,10,g,AM,CA1,Control,fmr1,2014
0,pkmz,10,g,AM,CA1,Control,fmr1,2014
10,pkmz,12,i,AM,CA1,Control,fmr1,2014
9,pkmz,12,i,AM,CA1,Control,fmr1,2014
12,pkmz,12,i,AM,CA1,Control,fmr1,2014
6,pkmz,14,k,AM,CA1,Control,fmr1,2014
6,pkmz,14,k,AM,CA1,Control,fmr1,2014
6,pkmz,19,BL 8,AM,CA3,Control,B6,2013
5,pkmz,19,BL 8,AM,CA3,Control,B6,2013
4,pkmz,19,BL 8,AM,CA3,Control,B6,2013
7,pkmz,20,BL 14,AM,CA3,Control,B6,2013
8,pkmz,20,BL 14,AM,CA3,Control,B6,2013
5,pkmz,20,BL 14,AM,CA3,Control,B6,2013
9,pkmz,21,BL 4,AM,CA3,Control,B6,2013
10,pkmz,21,BL 4,AM,CA3,Control,B6,2013
9,pkmz,21,BL 4,AM,CA3,Control,B6,2013
5,pkmz,23,BL 6,AM,CA3,Control,B6,2013
6,pkmz,23,BL 6,AM,CA3,Control,B6,2013
2,pkmz,23,BL 6,AM,CA3,Control,B6,2013
10,pkmz,24,BL 18,AM,CA3,Control,B6,2013
3,pkmz,24,BL 18,AM,CA3,Control,B6,2013
3,pkmz,24,BL 18,AM,CA3,Control,B6,2013
5,pkmz,29,BL 10,PM,CA3,Control,B6,2013
8,pkmz,29,BL 10,PM,CA3,Control,B6,2013
8,pkmz,29,BL 10,PM,CA3,Control,B6,2013
2,pkmz,30,BL 12,AM,CA3,Control,B6,2013
2,pkmz,30,BL 12,AM,CA3,Control,B6,2013
9,pkmz,30,BL 12,AM,CA3,Control,B6,2013
4,grim,1,a,AM,CA1,Control,fmr1,2014
4,grim,1,a,AM,CA1,Control,fmr1,2014
4,grim,4,ab,AM,CA1,Control,B6,2014
4,grim,4,ab,AM,CA1,Control,B6,2014
5,grim,4,ab,AM,CA1,Control,B6,2014
6,grim,8,e,AM,CA1,Control,fmr1,2014
9,grim,8,e,AM,CA1,Control,fmr1,2014
