"","pkmz","grim","rpl19","ind","time","region","APA","strained","group","year"
"1",6.12461099777508,6.08594563553465,15.1426921397165,"a","AM","CA1","control","fmr1","1","2014"
"8",7.27425335009571,6.89155263368113,16.5904690103067,"e","AM","CA1","control","fmr1","1","2014"
"10",0,0,11.6225977964076,"g","AM","CA1","control","fmr1","1","2014"
"12",7.48958676730516,6.86417619009173,15.0931063241149,"i","AM","CA1","control","fmr1","1","2014"
"14",6.70432674692751,6.5804965019596,15.6721440553473,"k","AM","CA1","control","fmr1","1","2014"
"55",6.12367213598576,6.08768272147203,15.1426607866837,"a","AM","CA1","control","fmr1","1","2014"
"56",7.27452734588799,6.89327663761574,16.5904935351317,"e","AM","CA1","control","fmr1","1","2014"
"57",0,0,11.6225713498963,"g","AM","CA1","control","fmr1","1","2014"
"58",7.48969330000598,6.866030227084,15.09306095342,"i","AM","CA1","control","fmr1","1","2014"
"59",6.70237978804226,6.57976456036043,15.6721283377017,"k","AM","CA1","control","fmr1","1","2014"
"5",5.5126965415838,7.74437532273577,14.7262063617148,"b ","AM","CA1","trained","fmr1","8","2014"
"7",8.7742991495284,8.71181413523863,18.4993362891656,"c","AM","CA1","trained","fmr1","8","2014"
"9",6.22100343093851,6.5456638076756,13.5886395565974,"f","AM","CA1","trained","fmr1","8","2014"
"11",5.88760047079537,5.77982816381766,15.4278432180352,"h","AM","CA1","trained","fmr1","8","2014"
"13",2.67081426839841,2.2095978041213,14.4244502709152,"j","AM","CA1","trained","fmr1","8","2014"
"61",5.51219048713365,7.74108631295837,14.7262256118197,"b ","AM","CA1","trained","fmr1","8","2014"
"62",8.7744228565609,8.71218477791729,18.4992991546673,"c","AM","CA1","trained","fmr1","8","2014"
"63",6.22044814929778,6.54561533253494,13.5886640742452,"f","AM","CA1","trained","fmr1","8","2014"
"64",5.88906583526646,5.78278928824222,15.4278511228695,"h","AM","CA1","trained","fmr1","8","2014"
"65",2.67073850866806,2.21040693700707,14.4244065347067,"j","AM","CA1","trained","fmr1","8","2014"
"4",4.85169188602382,6.24089145205558,14.312219630939,"ab","AM","CA1","control","wt","2","2014"
"38",7.16721115498026,6.32854748089238,12.2845042234158,"BL16","AM","CA1","control","wt","3","2013"
"42",4.50771260049988,3.72068694029296,11.3403688958312,"BL4","AM","CA1","control","wt","3","2013"
"43",5.04789559787007,5.01241768194717,10.4670693923123,"BL12","AM","CA1","control","wt","3","2013"
"44",3.73225545673066,1.67896792523308,9.6501779728471,"BL10","PM","CA1","control","wt","3","2013"
"50",5.73090240888467,4.73321664507007,10.600670567322,"BL18","AM","CA1","control","wt","3","2013"
"51",5.14714295611927,5.81858059227149,11.621746137016,"BL14","AM","CA1","control","wt","3","2013"
"53",5.19189701770713,6.00255024374931,11.9232646030623,"BL6","AM","CA1","control","wt","3","2013"
"54",4.85164717918707,6.23989799782561,14.3121991892584,"ab","AM","CA1","control","wt","2","2014"
"2",5.88802857458288,6.70100061759745,14.3965640851685,"a wt","AM","CA1","trained","wt","4","2014"
"35",5.55151448616122,4.82428767840062,11.808143141005,"BL11","AM","CA1","trained","wt","5","2013"
"36",6.27666028109779,7.54284043659302,12.4145454842051,"BL7","AM","CA1","trained","wt","5","2013"
"37",6.35401210108565,0,9.97312660060236,"BL2","AM","CA1","trained","wt","5","2013"
"39",2.01564352547827,4.8940483971054,11.3319521125324,"BL19","PM","CA1","trained","wt","5","2013"
"40",4.50201353269884,2.26500373841824,10.8045140037672,"BL3","AM","CA1","trained","wt","5","2013"
"41",5.78928842204816,6.6660542190975,11.8329746960233,"BL13","PM","CA1","trained","wt","5","2013"
"46",0,5.04235218135227,10.7725227036595,"BL1","AM","CA1","trained","wt","5","2013"
"47",7.84702947998265,9.49444517048777,14.4152112008002,"BL15","PM","CA1","trained","wt","5","2013"
"48",6.5053564947186,8.06470932710146,13.5803478866002,"BL9","AM","CA1","trained","wt","5","2013"
"49",3.31190857258817,3.15181514151862,9.73632184111172,"BL5","AM","CA1","trained","wt","5","2013"
"52",7.8410505958267,8.09041385377523,13.0126807905405,"BL17","AM","CA1","trained","wt","5","2013"
"60",5.88897504672636,6.70165814790904,14.3965553925875,"a wt","AM","CA1","trained","wt","4","2014"
"45",0,3.53597276117992,7.54102714706824,"BL8","AM","CA1","control","wt","3","2013"
