,count,gene,sample,ind,time,region,APA,strained,group,conc,
80,54,pkmz,50,BL18,AM,CA1,control,wt,3,0.25,216
81,54,pkmz,50,BL18,AM,CA1,control,wt,3,0.25,216
208,18,grim,50,BL18,AM,CA1,control,wt,3,0.25,72
209,18,grim,50,BL18,AM,CA1,control,wt,3,0.25,72
210,54,grim,50,BL18,AM,CA1,control,wt,3,0.25,216
337,1458,rpl19,50,BL18,AM,CA1,control,wt,3,0.25,5832
338,1854,rpl19,50,BL18,AM,CA1,control,wt,3,0.25,7416
339,1386,rpl19,50,BL18,AM,CA1,control,wt,3,0.25,5544
121,18,pkmz,49,BL5,AM,CA1,trained,wt,5,0.29,62.06896552
122,0,pkmz,49,BL5,AM,CA1,trained,wt,5,0.29,0
123,18,pkmz,49,BL5,AM,CA1,trained,wt,5,0.29,62.06896552
250,0,grim,49,BL5,AM,CA1,trained,wt,5,0.29,0
251,18,grim,49,BL5,AM,CA1,trained,wt,5,0.29,62.06896552
252,18,grim,49,BL5,AM,CA1,trained,wt,5,0.29,62.06896552
379,774,rpl19,49,BL5,AM,CA1,trained,wt,5,0.29,2668.965517
380,1062,rpl19,49,BL5,AM,CA1,trained,wt,5,0.29,3662.068966
381,738,rpl19,49,BL5,AM,CA1,trained,wt,5,0.29,2544.827586
70,36,pkmz,43,BL12,AM,CA1,control,wt,3,0.32,112.5
71,18,pkmz,43,BL12,AM,CA1,control,wt,3,0.32,56.25
72,54,pkmz,43,BL12,AM,CA1,control,wt,3,0.32,168.75
199,18,grim,43,BL12,AM,CA1,control,wt,3,0.32,56.25
200,54,grim,43,BL12,AM,CA1,control,wt,3,0.32,168.75
201,36,grim,43,BL12,AM,CA1,control,wt,3,0.32,112.5
329,1404,rpl19,43,BL12,AM,CA1,control,wt,3,0.32,4387.5
330,1422,rpl19,43,BL12,AM,CA1,control,wt,3,0.32,4443.75
109,54,pkmz,41,BL13,PM,CA1,trained,wt,5,0.35,154.2857143
110,36,pkmz,41,BL13,PM,CA1,trained,wt,5,0.35,102.8571429
111,90,pkmz,41,BL13,PM,CA1,trained,wt,5,0.35,257.1428571
238,126,grim,41,BL13,PM,CA1,trained,wt,5,0.35,360
239,180,grim,41,BL13,PM,CA1,trained,wt,5,0.35,514.2857143
240,54,grim,41,BL13,PM,CA1,trained,wt,5,0.35,154.2857143
367,3348,rpl19,41,BL13,PM,CA1,trained,wt,5,0.35,9565.714286
368,4284,rpl19,41,BL13,PM,CA1,trained,wt,5,0.35,12240
369,3384,rpl19,41,BL13,PM,CA1,trained,wt,5,0.35,9668.571429
115,234,pkmz,47,BL15,PM,CA1,trained,wt,5,0.35,668.5714286
116,234,pkmz,47,BL15,PM,CA1,trained,wt,5,0.35,668.5714286
117,252,pkmz,47,BL15,PM,CA1,trained,wt,5,0.35,720
244,792,grim,47,BL15,PM,CA1,trained,wt,5,0.35,2262.857143
245,918,grim,47,BL15,PM,CA1,trained,wt,5,0.35,2622.857143
246,828,grim,47,BL15,PM,CA1,trained,wt,5,0.35,2365.714286
373,24624,rpl19,47,BL15,PM,CA1,trained,wt,5,0.35,70354.28571
374,20142,rpl19,47,BL15,PM,CA1,trained,wt,5,0.35,57548.57143
82,36,pkmz,51,BL14,AM,CA1,control,wt,3,0.41,87.80487805
83,36,pkmz,51,BL14,AM,CA1,control,wt,3,0.41,87.80487805
84,36,pkmz,51,BL14,AM,CA1,control,wt,3,0.41,87.80487805
211,54,grim,51,BL14,AM,CA1,control,wt,3,0.41,131.7073171
212,36,grim,51,BL14,AM,CA1,control,wt,3,0.41,87.80487805
213,108,grim,51,BL14,AM,CA1,control,wt,3,0.41,263.4146341
340,3060,rpl19,51,BL14,AM,CA1,control,wt,3,0.41,7463.414634
341,2700,rpl19,51,BL14,AM,CA1,control,wt,3,0.41,6585.365854
342,3762,rpl19,51,BL14,AM,CA1,control,wt,3,0.41,9175.609756
61,36,pkmz,4,ab,AM,CA1,control,wt,2,0.51,70.58823529
