"","pkmz","grim","rpl19","ind","time","region","APA","strained","group","year"
"1",6.12447434160422,6.0711183811663,15.1431122607666,"a","AM","CA1","control","fmr1","1","2014"
"8",7.2629235369525,6.90016229456209,16.58763375391,"e","AM","CA1","control","fmr1","1","2014"
"10",0,0,11.6238945516109,"g","AM","CA1","control","fmr1","1","2014"
"12",7.49289319728896,6.85256436329831,15.0930091818795,"i","AM","CA1","control","fmr1","1","2014"
"14",6.71343075293193,6.56798379993367,15.6706519512747,"k","AM","CA1","control","fmr1","1","2014"
"55",6.12447449386406,6.06966236651488,15.1430496122358,"a","AM","CA1","control","fmr1","1","2014"
"56",7.26292449215647,6.90140785137435,16.5875798397295,"e","AM","CA1","control","fmr1","1","2014"
"57",0,0,11.6239126120427,"g","AM","CA1","control","fmr1","1","2014"
"58",7.49289382447061,6.85152935418576,15.0930186399751,"i","AM","CA1","control","fmr1","1","2014"
"59",6.71343156413362,6.57187525670523,15.6706736353398,"k","AM","CA1","control","fmr1","1","2014"
"5",5.52548143169113,7.74189710962929,14.7266083978078,"b ","AM","CA1","trained","fmr1","8","2014"
"7",8.76541014258446,8.71367589151728,18.5000602856581,"c","AM","CA1","trained","fmr1","8","2014"
"9",6.22222873435271,6.55219498285644,13.5900294048629,"f","AM","CA1","trained","fmr1","8","2014"
"11",5.88107566329538,5.8264486370346,15.4244809351845,"h","AM","CA1","trained","fmr1","8","2014"
"13",2.63559731527324,2.17336217622971,14.4275269839998,"j","AM","CA1","trained","fmr1","8","2014"
"61",5.52548125019319,7.74004848149451,14.72658400749,"b ","AM","CA1","trained","fmr1","8","2014"
"62",8.76540879977942,8.71315755805654,18.5000699688304,"c","AM","CA1","trained","fmr1","8","2014"
"63",6.22222917904726,6.54988896615713,13.5899963357837,"f","AM","CA1","trained","fmr1","8","2014"
"64",5.88107487670183,5.82412780305504,15.4245156207154,"h","AM","CA1","trained","fmr1","8","2014"
"65",2.63559655187122,2.17449933910013,14.4275480961682,"j","AM","CA1","trained","fmr1","8","2014"
"4",4.83537180847064,6.22502786843331,14.3047653121236,"ab","AM","CA1","control","wt","2","2014"
"38",7.15261395074437,6.27579217384985,12.2792880336256,"BL16","AM","CA1","control","wt","3","2013"
"42",4.51310584228492,3.716580353089,11.3292771541875,"BL4","AM","CA1","control","wt","3","2013"
"43",5.05031114914391,5.00947006199262,10.4630419383831,"BL12","AM","CA1","control","wt","3","2013"
"44",3.71336309635798,1.74337305682919,9.65188190101848,"BL10","PM","CA1","control","wt","3","2013"
"50",5.7196014924895,4.67858268808616,10.6071414735666,"BL18","AM","CA1","control","wt","3","2013"
"51",5.17959166348435,5.81383832041666,11.6140968382884,"BL14","AM","CA1","control","wt","3","2013"
"53",5.21079809110836,5.96249956173246,11.9293304377146,"BL6","AM","CA1","control","wt","3","2013"
"54",4.83537144701149,6.22415147794644,14.3047064529845,"ab","AM","CA1","control","wt","2","2014"
"2",5.85816311628381,6.75336835562772,14.393006494358,"a wt","AM","CA1","trained","wt","4","2014"
"35",5.52458799036681,4.80489309377973,11.8064121455759,"BL11","AM","CA1","trained","wt","5","2013"
"36",6.29455521783342,7.49987513189855,12.4196153036599,"BL7","AM","CA1","trained","wt","5","2013"
"37",6.33174395070933,0,9.97648567930963,"BL2","AM","CA1","trained","wt","5","2013"
"39",2.06567896097503,4.83609401277961,11.3232500946902,"BL19","PM","CA1","trained","wt","5","2013"
"40",4.52030541972236,2.31155574733014,10.8075144953391,"BL3","AM","CA1","trained","wt","5","2013"
"41",5.77641506441316,6.66312708722176,11.83037407069,"BL13","PM","CA1","trained","wt","5","2013"
"46",0,5.04927546939441,10.7727238666061,"BL1","AM","CA1","trained","wt","5","2013"
"47",7.83164874853653,9.53665430346949,14.4289181254498,"BL15","PM","CA1","trained","wt","5","2013"
"48",6.51437856491402,8.06447803537416,13.5848092911627,"BL9","AM","CA1","trained","wt","5","2013"
"49",3.29077149269822,3.19388677663991,9.73526152288001,"BL5","AM","CA1","trained","wt","5","2013"
"52",7.84157318152085,8.03707241425939,13.013565848667,"BL17","AM","CA1","trained","wt","5","2013"
"60",5.85816311309268,6.75397820565493,14.3930099611409,"a wt","AM","CA1","trained","wt","4","2014"
"45",0,3.51881913137789,7.5429584887696,"BL8","AM","CA1","control","wt","3","2013"
